concept,analytic_name,NHANES cycle,source component,source filename,raw variable,label,unit,valid range,missing codes,special codes,lower detection limit,fasting requirement,survey weight requirement,transformation,harmonization decision,evidence source,final status,notes
CVD component,cvd_chf,2005-2006,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2005-2006\MCQ_D.XPT,MCQ160B,self-reported congestive heart failure,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chf,2007-2008,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2007-2008\MCQ_E.XPT,MCQ160B,self-reported congestive heart failure,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chf,2009-2010,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2009-2010\MCQ_F.XPT,MCQ160B,self-reported congestive heart failure,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chf,2011-2012,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2011-2012\MCQ_G.XPT,MCQ160B,self-reported congestive heart failure,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chf,2013-2014,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2013-2014\MCQ_H.XPT,MCQ160B,self-reported congestive heart failure,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chf,2015-2016,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2015-2016\MCQ_I.XPT,MCQ160B,self-reported congestive heart failure,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chf,2017-2018,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2017-2018\MCQ_J.XPT,MCQ160B,self-reported congestive heart failure,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chf,2021-2023,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2021-2023\MCQ_L.XPT,MCQ160B,self-reported congestive heart failure,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chd,2005-2006,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2005-2006\MCQ_D.XPT,MCQ160C,self-reported coronary heart disease,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chd,2007-2008,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2007-2008\MCQ_E.XPT,MCQ160C,self-reported coronary heart disease,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chd,2009-2010,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2009-2010\MCQ_F.XPT,MCQ160C,self-reported coronary heart disease,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chd,2011-2012,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2011-2012\MCQ_G.XPT,MCQ160C,self-reported coronary heart disease,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chd,2013-2014,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2013-2014\MCQ_H.XPT,MCQ160C,self-reported coronary heart disease,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chd,2015-2016,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2015-2016\MCQ_I.XPT,MCQ160C,self-reported coronary heart disease,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chd,2017-2018,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2017-2018\MCQ_J.XPT,MCQ160C,self-reported coronary heart disease,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_chd,2021-2023,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2021-2023\MCQ_L.XPT,MCQ160C,self-reported coronary heart disease,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_angina,2005-2006,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2005-2006\MCQ_D.XPT,MCQ160D,self-reported angina,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_angina,2007-2008,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2007-2008\MCQ_E.XPT,MCQ160D,self-reported angina,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_angina,2009-2010,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2009-2010\MCQ_F.XPT,MCQ160D,self-reported angina,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_angina,2011-2012,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2011-2012\MCQ_G.XPT,MCQ160D,self-reported angina,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
