predictor,domain,source_variables,formula,unit,transformation,included_models,clinical_rationale,availability_by_cycle,available_all_development_cycles,available_2021_2023,missing_rate,leakage_status,final_decision
age,core clinical,RIDAGEYR,RIDAGEYR,years,none,Model 0; Model 1; Model 2; Model 3; Model 4,standard demographic risk marker,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED_STAGE2
sex,core clinical,RIAGENDR,categorical recode,category,categorical,Model 0; Model 1; Model 2; Model 3; Model 4,standard demographic risk marker,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED_STAGE2
race_ethnicity,core clinical,RIDRETH3 or RIDRETH1,categorical recode,category,categorical,Model 0; Model 1; Model 2; Model 3; Model 4,NHANES design and epidemiologic covariate,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED_STAGE2
education_or_pir,core clinical,DMDEDUC2; INDFMPIR,pre-specified choice after availability and collinearity audit,category or ratio,categorical or continuous,Model 0; Model 1; Model 2; Model 3; Model 4,socioeconomic confounding and baseline risk context,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED: use education in main Model 0; PIR reserved for sensitivity because PIR has greater missingness risk
smoking,core clinical,SMQ020; SMQ040,never/former/current recode,category,categorical,Model 0; Model 1; Model 2; Model 3; Model 4,established cardiovascular risk factor,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED_STAGE2
bmi_or_waist,core clinical,BMXBMI; BMXWAIST,pre-specified choice after collinearity audit; default BMI for main analysis unless changed before seeing results,kg/m2 or cm,continuous,Model 0; Model 1; Model 2; Model 3; Model 4,adiposity measure,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED: use BMI in main Model 0; waist circumference replacement reserved for sensitivity because TyG-WC already contains waist
systolic_blood_pressure,core clinical,BPXSY1-BPXSY4 or 2021-2023 BPXO equivalents,mean of valid SBP readings,mmHg,continuous,Model 0; Model 1; Model 2; Model 3; Model 4,established cardiovascular risk marker,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED_STAGE2
diabetes_status,core clinical,DIQ010; LBXGH; LBXGLU,"self-report or laboratory threshold, to be locked before analysis",binary,binary,Model 0; Model 1; Model 2; Model 3; Model 4,established cardiometabolic risk factor,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED_STAGE2
total_cholesterol,core clinical,LBXTC,LBXTC,mg/dL,continuous,Model 0; Model 1; Model 2; Model 3; Model 4,lipid risk context,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED_STAGE2
hdl_cholesterol,core clinical,LBDHDD or LBDHDL or LBXHDD,available HDL-C variable,mg/dL,continuous,Model 0; Model 1; Model 2; Model 3; Model 4,lipid risk context,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,True,True,TO BE CALCULATED IN STAGE 2 FROM HARMONIZED ANALYTIC DATA,NO_DIRECT_CVD_OUTCOME_VARIABLE_BY_DEFINITION,LOCKED_STAGE2
