comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.015014033479367472,0.04663198081564035,0.0011389818081260217,0.001282565509985456,-1.9277981750888515,-1.9917228583790074,0.8803367303913088,0.9256628933602677,-0.06392468329015588,0.04532616296895897,class_weighted_refit
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.00922687154471502,0.01871337084189212,0.003912141445400086,0.006392859649928251,-2.050403947563965,-2.0639855159669245,0.9949648417700007,0.9627977737226738,-0.013581568402959654,-0.03216706804732683,class_weighted_refit
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.005857206518895319,0.0008909733987874646,0.006989562157940388,0.01457341390325112,-2.129216677622895,-2.096057142318432,0.9222032692650262,0.8991607190284618,0.03315953530446292,-0.02304255023656432,class_weighted_refit
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0065022391397321355,0.02444044961249231,0.006810767906855919,0.013928276885392554,-1.903388920250113,-1.8865415496660898,0.8787775645118191,0.862428317757951,0.016847370584023302,-0.016349246753868063,class_weighted_refit
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.004243977816207112,0.022129443840264384,0.0022132255619602137,0.0006364215583607447,-2.1536068388168683,-2.1851860926579096,1.1133657713437008,1.0654833529535224,-0.03157925384104132,0.04788241839017848,class_weighted_refit
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.00861060484828946,0.03761689281305808,0.00665780070384181,0.01400490344100086,-2.158475175116112,-2.149720963452575,1.053181630162471,1.0415424935585784,0.00875421166353707,0.011639136603892597,class_weighted_refit
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.0036813925057707086,0.02849672731896291,0.007334478495268387,0.01440626682553331,-2.030714771840855,-1.9942592004580861,0.8753801363967999,0.8339414664245817,0.03645557138276878,-0.041438669972218234,class_weighted_refit
combined,xgboost,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.011592974094030262,0.04829983661804127,0.003793809520683672,0.011248242102623762,-1.825277768051247,-1.8311328667027071,1.0010760557888503,1.057549866151072,-0.005855098651460056,-0.056473810362221766,class_weighted_refit
combined,xgboost,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.007405206897711514,0.027047260828224562,0.006674873489553992,0.018227999397460726,-1.9828234729355576,-1.9326390592032485,1.0933238456441101,1.1350718880240318,0.050184413732309086,-0.04174804237992169,class_weighted_refit
combined,xgboost,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.002579538532467285,-0.013532817961991905,0.004605717958298422,0.011521973955260278,-2.019317101924664,-1.988852717595943,0.9938182729162319,0.9105051156092351,0.030464384328720895,-0.08331315730699684,class_weighted_refit
combined,xgboost,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0028959342719573344,0.021926614727073412,0.004995870628927798,0.011021768549365707,-1.7789638032085882,-1.7506499353070404,0.947101155736695,0.9554793529551847,0.028313867901547773,0.008378197218489758,class_weighted_refit
combined,xgboost,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,-0.002711063468678221,0.03357746213393764,0.0019976626934370134,0.004136261793118212,-2.114904656838795,-2.103871366766998,1.1451063234193901,1.1196998148011368,0.011033290071797097,0.02540650861825333,class_weighted_refit
combined,xgboost,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.0062632402793233455,0.032948508369936125,0.0056445664515134,0.013173821978905542,-2.152398194370269,-2.128101945386854,1.125756714679317,1.1621167261602778,0.02429624898341487,-0.0363600114809608,class_weighted_refit
combined,xgboost,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,-0.004388256216382391,0.03275081654150136,0.004763973739705496,0.01215163378949402,-1.9620286993474498,-1.9136985196240581,0.8606279896635021,0.8132546057505396,0.04833017972339171,-0.04737338391296242,class_weighted_refit
