target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1,imbalance_setting
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8474229053381095,0.3786393492735861,0.8403806018608374,0.4107594812875667,0.066040311259483,0.2288318031367081,0.084929334367036,0.2809971865809485,0.1059471704405748,0.9947416253587597,1.0890551153797492,0.0895836535532119,0.0822581449626399,0.0933245826363378,0.1388367729831144,0.9849297573435504,0.556390977443609,0.8936268829663963,0.2222222222222222,main_observed_class_distribution
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.830225902612651,0.3544536475460009,0.8269690214906263,0.3869835825344705,0.0718397008640176,0.2480434261685496,0.0861975745293495,0.2858711712471644,-0.0374520110084037,0.9169226161188448,1.0833907616693392,0.0951024285360095,0.0877822037078027,0.0881527337357299,0.1435185185185185,0.9796296296296296,0.484375,0.8955981941309256,0.2214285714285714,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.830225902612651,0.3544536475460009,0.8269690214906263,0.3869835825344705,0.0718397008640176,0.2480434261685496,0.0861975745293495,0.2858711712471644,-0.0374520110084037,0.9169226161188448,1.0833907616693392,0.0951024285360095,0.0877822037078027,0.0881527337357299,0.1435185185185185,0.9796296296296296,0.484375,0.8955981941309256,0.2214285714285714,main_observed_class_distribution
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8520647107523535,0.4033235315482322,0.8474132539733885,0.4305791254478985,0.0645185977711126,0.2246981217250436,0.0830796444465838,0.2757605522742195,0.0968682150259738,1.0125363301634651,1.0559820247248122,0.0895836535532119,0.0848344493141892,0.0596741232724786,0.2007504690431519,0.9787994891443168,0.5631578947368421,0.8999530295913575,0.2959889349930844,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.8335930340950878,0.3594793948013806,0.8286951303155009,0.3892824905152484,0.0715697419678709,0.2464958517764029,0.0860243693909577,0.2849562327554032,-0.0254330373707612,0.9269292456119134,1.077886086955794,0.0951024285360095,0.0882305001306783,0.0825672563425534,0.1574074074074074,0.980246913580247,0.5151515151515151,0.8971751412429378,0.2411347517730496,main_observed_class_distribution
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8503731590268355,0.3856040580783287,0.8430858366939107,0.4178912197252484,0.0656984139553872,0.227437340766016,0.0844757901690699,0.2792959543295457,0.1334182326801458,1.0056286794560052,1.0953230427865517,0.0895836535532119,0.0817874271368445,0.0995762422238795,0.148217636022514,0.983397190293742,0.5486111111111112,0.8945167286245354,0.2333825701624815,main_observed_class_distribution
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.8451013471090172,0.404650308642782,0.8406492912665753,0.4283359283247219,0.0690984195669556,0.2385588186297432,0.0834736844487471,0.2768791780310097,0.0186458212947058,0.9781258590066751,1.040913317663435,0.0951024285360095,0.0913644075084833,0.0442208866913573,0.2175925925925926,0.974074074074074,0.5280898876404494,0.9032627361190612,0.3081967213114754,main_observed_class_distribution
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2007-2008,5649,677,combined_mec_weight,0.5,fixed_0.50,0.8514446387537717,0.3834977291103685,0.8263237200702069,0.3848193697253642,0.0637631743193121,0.2209777548028648,0.0875244533756361,0.2890923557038873,0.0694536225810107,1.024926712868579,1.0198980945330094,0.086286136260994,0.0846027036657056,0.021543426590644,0.1299852289512555,0.9827031375703942,0.5057471264367817,0.8924200913242009,0.2068155111633372,main_observed_class_distribution
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2007-2008,2337,288,combined_fasting_weight,0.5,fixed_0.50,0.8547133606527315,0.3902798756387979,0.8213508622092076,0.386062643623927,0.0654933956191298,0.2250478887090229,0.0900653675958754,0.2973048174203326,0.0853609644835705,1.0347236697885025,1.01964207165423,0.0895634391907447,0.0878381166103123,0.0213449119822239,0.1458333333333333,0.9795021961932652,0.5,0.8908122503328895,0.2258064516129032,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2007-2008,2337,288,combined_fasting_weight,0.5,fixed_0.50,0.8547133606527315,0.3902798756387979,0.8213508622092076,0.386062643623927,0.0654933956191298,0.2250478887090229,0.0900653675958754,0.2973048174203326,0.0853609644835705,1.0347236697885025,1.01964207165423,0.0895634391907447,0.0878381166103123,0.0213449119822239,0.1458333333333333,0.9795021961932652,0.5,0.8908122503328895,0.2258064516129032,main_observed_class_distribution
