comparison,algorithm,metric,k_cycles,pooled_effect_REML,modified_HK_se,ci_lower,ci_upper,p_value,tau2_REML,tau_REML,Cochran_Q,Q_df,Q_p_value,I2_percent,HK_q,modified_HK_q,prediction_interval_lower,prediction_interval_upper,between_cycle_variance_method,confidence_interval_method,ci_level
combined,elastic_net,delta_AUROC,7,0.006876995560993752,0.0016141699825128017,0.002927263901020694,0.010826727220966809,0.005318955361305477,0.0,0.0,3.659952669300513,6,0.7225812519772905,0.0,0.6099921115500855,1.0,0.0027276395243169558,0.011026351597670549,REML,modified_Hartung_Knapp,0.95
combined,elastic_net,delta_Brier_improvement,7,0.0012689075727570726,0.0002986705579377286,0.0005380870449511615,0.0019997281005629834,0.005388923723930748,0.0,0.0,4.0533676981781,6,0.669454309329378,0.0,0.6755612830296833,1.0,0.0005011504616829838,0.0020366646838311615,REML,modified_Hartung_Knapp,0.95
combined,elastic_net,delta_PR_AUC,7,0.024788260120308377,0.005485061735791218,0.011366797554739,0.03820972268587776,0.004020852486393168,1.2775842546250755e-05,0.0035743310627655567,5.347511008423967,6,0.5000751671286396,0.0,0.8284335623004884,1.0,0.00795894829462171,0.041617571945995045,REML,modified_Hartung_Knapp,0.95
combined,elastic_net,delta_log_loss_improvement,7,0.003792582214590777,0.0008157690960689852,0.0017964671456217507,0.005788697283559803,0.0035070398764377253,0.0,0.0,4.715226942656827,6,0.5808210187989227,0.0,0.7858711571094711,1.0,0.0016955809941623877,0.005889583435019167,REML,modified_Hartung_Knapp,0.95
combined,xgboost,delta_AUROC,7,0.0031226021942892413,0.0026424321906504,-0.00334319644886021,0.009588400837438692,0.2820278219220862,2.924654179922672e-05,0.0054080071929710595,18.349981642075406,6,0.005414581440163517,67.30241960437519,0.8907972007955641,1.0,-0.012349864121789655,0.018595068510368136,REML,modified_Hartung_Knapp,0.95
combined,xgboost,delta_Brier_improvement,7,0.0009334976731572025,0.0004961170286219478,-0.0002804569637326742,0.0021474523100470794,0.1089119771770798,7.410151438499551e-07,0.0008608223648639452,11.635079067675676,6,0.07062278415800702,48.43180725201026,1.0839464801765464,1.0839464801765464,-0.0016205112153523005,0.0034875065616667054,REML,modified_Hartung_Knapp,0.95
combined,xgboost,delta_PR_AUC,7,0.019006731472006634,0.009658314548959207,-0.004626312859927619,0.04263977580394089,0.09662924023239017,0.00034172736558846787,0.0184858693490046,12.794019688832964,6,0.04642607251309473,53.10308920942967,0.9698194638251563,1.0,-0.03460764469773261,0.07262110764174587,REML,modified_Hartung_Knapp,0.95
combined,xgboost,delta_log_loss_improvement,7,0.0023582632467836905,0.0016647169509500135,-0.0017151523892978316,0.006431678882865213,0.206360605342797,1.2139380226734179e-05,0.0034841613376441366,17.446573179643654,6,0.007774822374029598,65.60929221905485,1.0103039354424188,1.0103039354424188,-0.007567865596873507,0.012284392090440887,REML,modified_Hartung_Knapp,0.95
inflammatory,elastic_net,delta_AUROC,7,0.001112888389415341,0.00037527935175331366,0.00019461289612015262,0.002031163882710529,0.025103615215533285,2.718470093964364e-07,0.0005213894987400843,7.530049410542361,6,0.2745926737177423,20.31924795075358,0.8607319979294098,1.0,-0.0005384610672126478,0.0027642378460433297,REML,modified_Hartung_Knapp,0.95
inflammatory,elastic_net,delta_Brier_improvement,7,0.00017445253228053642,7.13892925158241e-05,-2.3077362128906217e-07,0.00034913583818236193,0.05022002743785521,8.764293469946809e-09,9.361780530404892e-05,8.064017130163016,6,0.23345067661060429,25.595396151164817,1.0156481614161057,1.0156481614161057,-0.0001281861246713377,0.0004770911892324106,REML,modified_Hartung_Knapp,0.95
inflammatory,elastic_net,delta_PR_AUC,7,0.003713870046710733,0.0016607363318088377,-0.00034980536521935163,0.007777545458640818,0.0666874301445658,3.617786899883184e-06,0.0019020480803289869,8.048592833813753,6,0.23456485034591124,25.45280741755508,1.0905878887702602,1.0905878887702602,-0.002776954488230394,0.01020469458165186,REML,modified_Hartung_Knapp,0.95
inflammatory,elastic_net,delta_log_loss_improvement,7,0.0005800439205917935,0.00019615375931335226,0.00010007296228131213,0.001060014878902275,0.025378567378093714,2.7059413769962174e-08,0.00016449745824772543,6.076012479303037,6,0.41472925292542023,1.251025727184747,0.9018007930714527,1.0,-7.802357867146392e-05,0.001238111419855051,REML,modified_Hartung_Knapp,0.95
