comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change
renal,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.004641805414243971,0.024684182274646027,0.001521713488370477,0.004133681411664508,0.10594717044057386,0.0968682150259726,0.9947416253587584,1.0125363301634642,0.009078955414601256,-0.007277955522222657
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0037861538481039902,0.022436336395159018,0.0010518435161586681,0.0029070433599694134,0.06945362258100926,0.07639216961158803,1.0249267128685786,1.026515944215799,-0.006938547030578765,-0.0015892313472203323
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.003713795429655442,0.0013463576590094783,0.0002819006059968168,0.0013670895963004415,-0.1685420313155057,-0.17605328500151352,0.9537351286056369,0.938582136380677,-0.007511253686007802,-0.015152992224959916
renal,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0051694627894353085,0.025197669147065505,0.0012357341747646217,0.0035647707494809167,-0.04663188899651303,-0.02672133584277253,0.9539106390038112,0.9601564411194166,0.019910553153740497,0.006245802115605326
renal,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.006679683405393266,0.017916526805418886,0.001317792028647291,0.004087794399938061,-0.04583067356589075,-0.04333135790566616,0.9919471897383998,1.0091755372954165,0.0024993156602245922,-0.0011227270338163287
renal,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0051359957379116805,0.011889917387983007,0.0006619465176565531,0.0023598526604986236,0.023346879339047694,0.010850448054113088,1.0516499852966859,1.0354276245969531,0.012496431284934606,0.016222360699732707
renal,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.002189903456152331,0.01179446946000573,0.00021489625222295694,0.0008415218173746519,0.003052173635859398,0.0016971981283574328,0.9965290708848361,0.9840004741257555,0.0013549755075019654,-0.012528596759080579
renal,xgboost,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0028764217003445225,0.015499190822048314,0.0015825039436733052,0.0033171342473027887,0.34685117332314097,0.1420062552069501,1.0914968823179605,1.0015878065308796,0.20484491811619088,0.08990907578708085
renal,xgboost,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0017032643142094184,0.020595806059275745,0.0008831172126543413,0.0019450993761291613,0.22120835108979198,0.22549470716651274,1.104812553275733,1.1037839752213274,-0.00428635607672076,0.0010285780544054823
renal,xgboost,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0018395386169134387,-0.003985475162491869,9.026916308855354e-05,0.000574793481463165,-0.043858445971232465,-0.06554829089549419,1.0171474202076225,0.9911562778110753,-0.021689844924261723,0.008303698018697792
renal,xgboost,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0033743708410320927,0.020542299720866353,0.0007379659315942255,0.0024529822684883074,-0.031997885009664315,-0.02339130230143054,0.9461705156422072,0.9556868178578823,0.008606582708233775,0.009516302215675121
renal,xgboost,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.004958854327179685,0.003217825013163811,0.0007717071085598243,0.002673872378882669,-0.15639975697187047,-0.16422312233618908,0.9440151005637389,0.9568848380000461,-0.007823365364318602,0.01286973743630715
renal,xgboost,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.002474860236417742,0.007834154575511953,0.0003331097480706591,0.0010810949436254047,0.014148179048497717,0.00301674665008983,1.061405147115536,1.0473341650878103,0.011131432398407887,0.01407098202772561
renal,xgboost,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0019031486526219776,0.00794994053091752,0.0001298867534393483,0.000728093570835503,0.0007755849763560786,0.027837428766819078,1.0079333879078458,1.0095120407750413,-0.027061843790463,-0.0015786528671954958
metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.003367131482436836,0.005025747255379742,0.0002699588961467547,0.0015475743921466723,-0.037452011008404576,-0.025433037370762454,0.9169226161188438,0.9269292456119126,0.012018973637642122,0.010006629493068742
metabolic,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0007543095902587948,-0.004316419765807322,-1.362850219187306e-05,0.00028925038179944407,0.08536096448356978,0.07196322543903842,1.034723669788501,1.0299380556321263,0.013397739044531357,0.004785614156374685
metabolic,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0020727032968980152,0.0011741921494740626,0.00026216802253965776,0.0010024670224908772,-0.1676307334190429,-0.1427029267267962,0.9693975315895426,0.9787573198908762,0.0249278066922467,0.00935978830133366
metabolic,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.001741808927121169,0.0006013971812859897,5.311271871205614e-05,0.00028325905800261064,-0.043680254866580503,-0.05957656883564369,0.9109750364633609,0.9064394364242851,-0.015896313969063186,-0.004535600039075716
metabolic,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.00014079879879358437,0.00020903390267362765,0.00019503118792572882,0.00022057764910307642,0.17287788289193887,0.1672231598119015,1.1480926140439265,1.141838295117622,0.005654723080037366,0.0062543189263044585
metabolic,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0013124950929398471,0.003691306969770658,0.0003527978141320137,0.0009103972813599426,0.06893065306342791,0.07769686485362887,1.077394208457339,1.0879437601908104,-0.008766211790200956,-0.010549551733471496
metabolic,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0003310589344732717,-0.0024652187211272603,-0.0003341213459908815,-0.0007038435283351907,-0.19876025308111397,-0.20870589883316043,0.8858956257277599,0.874564041479537,-0.009945645752046456,-0.011331584248222892
metabolic,xgboost,2005-2006,1836,216,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.004481499175459702,0.01210340345082922,0.0003902981691539936,0.0023115489616685747,0.19213544600319715,0.13704993102813315,1.0130147382868349,0.9832916066142244,0.055085514975064004,-0.003693655098940707
metabolic,xgboost,2007-2008,2337,288,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0044606745106223755,-0.002352806402471763,9.366458821000179e-05,0.001473681552864342,0.1957597819688073,0.23579598924094838,1.088887218492653,1.109667793402378,-0.04003620727214108,-0.020780574909724958
metabolic,xgboost,2009-2010,2594,273,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.0019393651711840931,-0.010921487491585058,-0.0002956330622649328,-0.0009793806288112827,-0.0740257769947322,-0.16443352434447012,1.0050442328410523,0.9529148615664343,-0.09040774734973792,-0.04204090559251339
metabolic,xgboost,2011-2012,2294,239,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0010989581729368147,-0.006120743402299511,-0.00038820396262523316,-0.0004184187687028551,0.025677557352852765,0.022888886400574043,0.929672086133239,0.9295951941340682,0.002788670952278721,-7.689199917082501e-05
