target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,survey_weighted_AUROC,0.8474229053381102,0.8466463477687886,-0.0007765575693216009,0.012248121584597045,0.8217488670993319,0.8696427042702174,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,survey_weighted_PR_AUC,0.3786393492735861,0.37976730540075027,0.0011279561271641536,0.02000389161584181,0.33985973900558636,0.4165135206127161,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,weighted_Brier,0.0660403112594831,0.06591906864151144,-0.00012124261797166747,0.004257432461498544,0.057884265799272354,0.07411789617033204,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,weighted_log_loss,0.22883180313670815,0.22860890732957484,-0.00022289580713330537,0.012979003350993607,0.20499815999226292,0.2532829217303377,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,calibration_intercept,0.10594717044057432,0.1037625165214819,-0.002184653919092422,0.11349900803018151,-0.11187333066647226,0.32260404150141436,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,calibration_slope,0.994741625358759,0.9959781608941026,0.0012365355353436414,0.05431427102520386,0.8982236827546961,1.1025070396676866,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,observed_expected_ratio,1.0890551153797494,1.0880709860598796,-0.0009841293198697976,0.05739260506481495,0.979050339653641,1.2021771469046947,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,weighted_observed_prevalence,0.08958365355321198,0.08931859423883771,-0.0002650593143742608,0.0063884241692191744,0.07687501392039414,0.10124378837346713,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,weighted_mean_predicted_probability,0.08225814496263992,0.08216435125967442,-9.379370296550005e-05,0.005325130684204721,0.07230058307573559,0.09213729537828237,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,calibration_in_the_large,0.0933245826363378,0.09085081371441112,-0.002473768921926689,0.05769440149482727,-0.023293023078712845,0.20238054760645272,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,survey_weighted_AUROC,0.8302259026126508,0.829495551320791,-0.000730351291859832,0.018564240464211797,0.7955259350829306,0.868656674670886,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,survey_weighted_PR_AUC,0.3544536475460009,0.3570766224090088,0.0026229748630078875,0.031894235239389945,0.2910542676296955,0.41711868409310926,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,weighted_Brier,0.07183970086401767,0.0716796421620071,-0.00016005870201056538,0.008387012695058482,0.05555161792467554,0.08766525014219365,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,weighted_log_loss,0.24804342616854963,0.2477676847760389,-0.00027574139251074214,0.02673440394456418,0.19708866719882864,0.29970790357655813,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,calibration_intercept,-0.037452011008405166,-0.045678897956380984,-0.008226886947975819,0.13211989563641663,-0.3266740659350248,0.2054349349107969,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,calibration_slope,0.9169226161188437,0.9187776220209357,0.0018550059020919774,0.07683166606248185,0.7841649269647293,1.0849594306382917,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,observed_expected_ratio,1.0833907616693392,1.0783891057502337,-0.005001655919105508,0.08475994560784232,0.9121837977411184,1.2358905586113202,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,weighted_observed_prevalence,0.0951024285360095,0.09473108741892523,-0.0003713411170842701,0.011914601517209664,0.07189260913326141,0.11665446683946269,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,weighted_mean_predicted_probability,0.08778220370780274,0.087635276403251,-0.00014692730455173608,0.006251525825802346,0.07565176369810113,0.10001315758313266,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,calibration_in_the_large,0.08815273373572996,0.08021163860585244,-0.00794109512987752,0.08775144711916708,-0.09996615928907024,0.2362559099456511,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,survey_weighted_AUROC,0.8302259026126508,0.829495551320791,-0.000730351291859832,0.018564240464211797,0.7955259350829306,0.868656674670886,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,survey_weighted_PR_AUC,0.3544536475460009,0.3570766224090088,0.0026229748630078875,0.031894235239389945,0.2910542676296955,0.41711868409310926,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,weighted_Brier,0.07183970086401767,0.0716796421620071,-0.00016005870201056538,0.008387012695058482,0.05555161792467554,0.08766525014219365,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,weighted_log_loss,0.24804342616854963,0.2477676847760389,-0.00027574139251074214,0.02673440394456418,0.19708866719882864,0.29970790357655813,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,calibration_intercept,-0.037452011008405166,-0.045678897956380984,-0.008226886947975819,0.13211989563641663,-0.3266740659350248,0.2054349349107969,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,calibration_slope,0.9169226161188437,0.9187776220209357,0.0018550059020919774,0.07683166606248185,0.7841649269647293,1.0849594306382917,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,observed_expected_ratio,1.0833907616693392,1.0783891057502337,-0.005001655919105508,0.08475994560784232,0.9121837977411184,1.2358905586113202,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,weighted_observed_prevalence,0.0951024285360095,0.09473108741892523,-0.0003713411170842701,0.011914601517209664,0.07189260913326141,0.11665446683946269,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,weighted_mean_predicted_probability,0.08778220370780274,0.087635276403251,-0.00014692730455173608,0.006251525825802346,0.07565176369810113,0.10001315758313266,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
