comparison,algorithm,scope,n,events,core_model,extended_model,weight_variable,strategy,threshold_probability,net_benefit,bootstrap_se,ci_lower,ci_upper,valid_replicates,ci_level,ci_method
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.01,0.08491331333429304,0.011606190551282859,0.06185185740428046,0.10602974340573255,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.01,-0.0005382945122092697,0.0003112027426171699,-0.000979268305197271,-0.00014399037167407323,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.01,0.08437501882208377,0.011615129089520355,0.06117614125628201,0.10557371712467879,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.01,0.08596204902627225,0.012034951027484506,0.06251778700329436,0.10773178468632595,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.01,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.02,0.07980902703067438,0.011487399294755896,0.056795812580579995,0.10076359952513413,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.02,0.00020608975803834695,0.00044692997293183594,-0.0005929361140922572,0.0010330609905573236,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.02,0.08001511678871273,0.011440047480951704,0.05713448865454203,0.10089565773431595,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.02,0.0766351311591934,0.01215775665021394,0.05295164197271573,0.09862700697904357,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.02,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.03,0.07305092077484347,0.010622422954545475,0.051645758691597175,0.09257957130028831,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.03,0.0014934341076317525,0.001608176592634357,-0.0013956705911069025,0.004566700146181451,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.03,0.07454435488247523,0.011325976490756576,0.051849097370403406,0.09503649768865224,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.03,0.06711590570722632,0.012283094347638827,0.04318825683841383,0.08933450189635328,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.03,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.04,0.06841680120855469,0.009957159349890624,0.04853490779868827,0.08694466170094485,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.04,0.0012361384701802258,0.0026457019040931015,-0.0035315642517955966,0.005815254527757705,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.04,0.06965293967873491,0.01084758282403259,0.04824184211474603,0.08934136828864918,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.04,0.05739836305834326,0.012411043247093398,0.033221467847147315,0.07984840295777364,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.04,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.05,0.06429263569730191,0.00929231523645974,0.045906917038132156,0.08125253252123359,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.05,0.0022937569204790204,0.002233280585054238,-0.0011744404187518033,0.005809535545685425,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.05,0.06658639261778093,0.010650775229109599,0.046000034692781744,0.08601777106040234,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.05,0.04747624056422056,0.01254168580758912,0.02304485171922255,0.07016259667311862,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.05,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.06,0.060469586530207675,0.009485377856353663,0.04108882750932155,0.07796505193043007,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.06,0.00273456958869249,0.0017121563916087693,-1.189620630722726e-06,0.005674377676117286,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.06,0.06320415611890016,0.009339254617893339,0.04492282015128354,0.08010520179983363,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.06,0.03734300908086122,0.012675107997031554,0.012651711843895143,0.06027070940368371,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.06,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
