cycle,model,domain,adult_nonpregnant_source_population,outcome_available_population,model_specific_imputation_eligible_population,model_specific_complete_case_population,events_imputation_eligible,events_complete_case,weight_variable
2005-2006,model0_core,mec,4643,4643,4448,3943,533,447,combined_mec_weight
2005-2006,model1_renal,mec,4643,4643,4448,3895,533,438,combined_mec_weight
2005-2006,model2_metabolic,fasting,4643,4643,1836,1699,216,187,combined_fasting_weight
2005-2006,model3_inflammatory,mec,4643,4643,4448,3921,533,446,combined_mec_weight
2005-2006,model4_combined,fasting,4643,4643,1836,1677,216,185,combined_fasting_weight
2007-2008,model0_core,mec,5878,5877,5649,5006,677,572,combined_mec_weight
2007-2008,model1_renal,mec,5878,5877,5649,4924,677,546,combined_mec_weight
2007-2008,model2_metabolic,fasting,5878,5877,2337,2174,288,252,combined_fasting_weight
2007-2008,model3_inflammatory,mec,5878,5877,5649,4980,677,568,combined_mec_weight
2007-2008,model4_combined,fasting,5878,5877,2337,2137,288,243,combined_fasting_weight
2009-2010,model0_core,mec,6150,6148,5990,5342,646,571,combined_mec_weight
2009-2010,model1_renal,mec,6150,6148,5990,5290,646,554,combined_mec_weight
2009-2010,model2_metabolic,fasting,6150,6148,2594,2398,273,251,combined_fasting_weight
2009-2010,model3_inflammatory,mec,6150,6148,5990,5317,646,569,combined_mec_weight
2009-2010,model4_combined,fasting,6150,6148,2594,2366,273,244,combined_fasting_weight
2011-2012,model0_core,mec,5503,5500,5260,4609,550,457,combined_mec_weight
2011-2012,model1_renal,mec,5503,5500,5260,4549,550,438,combined_mec_weight
2011-2012,model2_metabolic,fasting,5503,5500,2294,2115,239,203,combined_fasting_weight
2011-2012,model3_inflammatory,mec,5503,5500,5260,4602,550,454,combined_mec_weight
2011-2012,model4_combined,fasting,5503,5500,2294,2099,239,199,combined_fasting_weight
2013-2014,model0_core,mec,5704,5703,5522,5056,573,515,combined_mec_weight
2013-2014,model1_renal,mec,5704,5703,5522,4986,573,495,combined_mec_weight
2013-2014,model2_metabolic,fasting,5704,5703,2370,2197,244,220,combined_fasting_weight
2013-2014,model3_inflammatory,mec,5704,5703,5522,5037,573,512,combined_mec_weight
2013-2014,model4_combined,fasting,5704,5703,2370,2168,244,215,combined_fasting_weight
2015-2016,model0_core,mec,5649,5649,5404,4912,597,536,combined_mec_weight
2015-2016,model1_renal,mec,5649,5649,5404,4846,597,520,combined_mec_weight
2015-2016,model2_metabolic,fasting,5649,5649,2246,2092,266,237,combined_fasting_weight
2015-2016,model3_inflammatory,mec,5649,5649,5404,4886,597,533,combined_mec_weight
2015-2016,model4_combined,fasting,5649,5649,2246,2065,266,233,combined_fasting_weight
2017-2018,model0_core,mec,5514,5513,5209,4599,646,556,combined_mec_weight
2017-2018,model1_renal,mec,5514,5513,5209,4529,646,536,combined_mec_weight
2017-2018,model2_metabolic,fasting,5514,5513,2279,2065,287,251,combined_fasting_weight
2017-2018,model3_inflammatory,mec,5514,5513,5209,4594,646,555,combined_mec_weight
2017-2018,model4_combined,fasting,5514,5513,2279,2042,287,243,combined_fasting_weight
2021-2023,model0_core,mec,7768,7766,6023,5243,773,652,combined_mec_weight
2021-2023,model1_renal,mec,7768,7766,6023,5124,773,631,combined_mec_weight
2021-2023,model2_metabolic,fasting,7768,7766,2940,2655,355,305,combined_fasting_weight
2021-2023,model3_inflammatory,mec,7768,7766,6023,5211,773,650,combined_mec_weight
2021-2023,model4_combined,fasting,7768,7766,2940,2580,355,295,combined_fasting_weight
