fold,outer_holdout_cycle,model,algorithm,selected_candidate_id,mean_inner_weighted_log_loss,sd_inner_weighted_log_loss,training_cycles,hyperparameters_json,n_outer_train,n_outer_validation,events_outer_validation,training_youden_threshold,config_hash
1,2005-2006,model0_core,elastic_net,elastic_net_0002,0.2261631385370792,0.008400667184568,2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.01, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",33034,4448,533,0.0764665572327845,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
1,2005-2006,model0_paired_combined,elastic_net,elastic_net_0003,0.2333183379618076,0.0171892635740425,2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.03, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",14120,1836,216,0.0824151151832887,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
1,2005-2006,model0_paired_metabolic,elastic_net,elastic_net_0003,0.2333183379618076,0.0171892635740425,2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.03, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",14120,1836,216,0.0824151151832887,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
1,2005-2006,model1_renal,elastic_net,elastic_net_0000,0.223630500580976,0.008684348993725,2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.001, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",33034,4448,533,0.0790704099150002,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
1,2005-2006,model2_metabolic,elastic_net,elastic_net_0000,0.2330127192074767,0.0174852934885659,2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.001, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",14120,1836,216,0.0902325999479251,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
1,2005-2006,model3_inflammatory,elastic_net,elastic_net_0000,0.2257683435733609,0.0085312732244071,2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.001, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",33034,4448,533,0.0862648322857272,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
1,2005-2006,model4_combined,elastic_net,elastic_net_0000,0.2297749270602581,0.0175042252983456,2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.001, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",14120,1836,216,0.0855412917211113,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
2,2007-2008,model0_core,elastic_net,elastic_net_0000,0.2274551684951465,0.0080037009429728,2005-2006;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.001, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",31833,5649,677,0.081929086358467,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
2,2007-2008,model0_paired_combined,elastic_net,elastic_net_0000,0.2372173438128925,0.0168098878991779,2005-2006;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.001, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",13619,2337,288,0.0851945857590451,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
2,2007-2008,model0_paired_metabolic,elastic_net,elastic_net_0000,0.2372173438128925,0.0168098878991779,2005-2006;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,"{""C"": 0.001, ""class_weight"": null, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga"", ""tol"": 0.0001}",13619,2337,288,0.0851945857590451,"{""config/cycle_folds.yml"": ""83989a1e6d8482f886ad95fae273aad3a7017a463d085f3c68923110a1cde427"", ""config/elastic_net_hyperparameter_grid.yml"": ""369ef395cc6e675b3916c743deb4af4d89cdfd7b28323cefaa2c76f002844941"", ""config/frozen_variable_specification.yml"": ""81ece6c7a190957024d3a0b87a06249e6b07d2aee86a4f6f5463f066888d0208"", ""config/temporal_validation_locked.yml"": ""6883ae0bb61c41c80eeba2523361b8cddc0babef6793e94b4b9a2449c30491ba"", ""config/xgboost_hyperparameter_grid.yml"": ""bd77bebd7233cb643bb0ab622229eaa0ee797d43cc6e108a742156ea7057421d""}"
