Algorithm,Model,n (events),AUROC (95% CI),PR-AUC (95% CI),Brier score (95% CI),Calibration intercept (95% CI),Calibration slope (95% CI)
Elastic Net,Model 0 (core clinical),37482 (4222),0.849 (0.841 to 0.856),0.369 (0.355 to 0.386),0.0658 (0.0628 to 0.0687),-0.008 (-0.077 to 0.064),0.995 (0.964 to 1.031)
Elastic Net,Model 1 (+ renal),37482 (4222),0.853 (0.846 to 0.860),0.385 (0.371 to 0.403),0.0649 (0.0619 to 0.0679),-0.009 (-0.077 to 0.062),0.995 (0.963 to 1.031)
Elastic Net,Model 2 (+ TyG-WC),15956 (1813),0.846 (0.834 to 0.857),0.371 (0.350 to 0.397),0.0685 (0.0640 to 0.0727),-0.017 (-0.130 to 0.092),0.992 (0.945 to 1.050)
Elastic Net,Model 3 (+ SIRI),37482 (4222),0.850 (0.842 to 0.857),0.372 (0.357 to 0.390),0.0657 (0.0627 to 0.0686),-0.007 (-0.076 to 0.067),0.996 (0.964 to 1.033)
Elastic Net,Model 4 (combined),15956 (1813),0.852 (0.842 to 0.863),0.395 (0.374 to 0.423),0.0673 (0.0628 to 0.0716),-0.019 (-0.122 to 0.083),0.991 (0.948 to 1.043)
XGBoost,Model 0 (core clinical),37482 (4222),0.853 (0.845 to 0.860),0.382 (0.368 to 0.400),0.0653 (0.0623 to 0.0682),0.050 (-0.020 to 0.121),1.025 (0.994 to 1.060)
XGBoost,Model 1 (+ renal),37482 (4222),0.856 (0.848 to 0.863),0.392 (0.378 to 0.412),0.0646 (0.0616 to 0.0676),0.021 (-0.052 to 0.094),1.009 (0.978 to 1.047)
XGBoost,Model 2 (+ TyG-WC),15956 (1813),0.846 (0.835 to 0.858),0.381 (0.360 to 0.410),0.0685 (0.0638 to 0.0728),-0.004 (-0.106 to 0.103),0.996 (0.952 to 1.053)
XGBoost,Model 3 (+ SIRI),37482 (4222),0.853 (0.846 to 0.861),0.383 (0.369 to 0.403),0.0652 (0.0622 to 0.0681),0.040 (-0.030 to 0.112),1.019 (0.987 to 1.054)
XGBoost,Model 4 (combined),15956 (1813),0.849 (0.838 to 0.861),0.405 (0.385 to 0.434),0.0673 (0.0626 to 0.0717),0.017 (-0.079 to 0.119),1.007 (0.964 to 1.064)
