model,term,source_predictor,coefficient,coefficient_scale,odds_ratio_per_model_unit
model0_core,intercept,intercept,-1.221483576388111,model log-odds intercept after preprocessing,0.29479249515933187
model0_core,age,age,1.3959867453587385,one training-sample standard deviation after median imputation,4.038958030070232
model0_core,bmi,bmi,0.19408106747938061,one training-sample standard deviation after median imputation,1.2141947106712072
model0_core,mean_sbp,mean_sbp,-0.053240110244424946,one training-sample standard deviation after median imputation,0.9481523240619484
model0_core,total_cholesterol,total_cholesterol,-0.32784628281420514,one training-sample standard deviation after median imputation,0.7204737603925965
model0_core,hdl_cholesterol,hdl_cholesterol,-0.11722737399698012,one training-sample standard deviation after median imputation,0.889382947615948
model0_core,sex_Female,sex,-0.6826456440198413,one-hot indicator versus omitted reference category,0.5052784356024967
model0_core,sex_Male,sex,-0.5177431328485443,one-hot indicator versus omitted reference category,0.5958638170855887
model0_core,race_ethnicity_Mexican American,race_ethnicity,-0.505010062231698,one-hot indicator versus omitted reference category,0.6034995028446615
model0_core,race_ethnicity_Non-Hispanic Asian,race_ethnicity,-0.5355025837743405,one-hot indicator versus omitted reference category,0.5853750162172824
model0_core,race_ethnicity_Non-Hispanic Black,race_ethnicity,0.00672534013075931,one-hot indicator versus omitted reference category,1.0067480060141314
model0_core,race_ethnicity_Non-Hispanic White,race_ethnicity,-0.1156112966559091,one-hot indicator versus omitted reference category,0.8908214212743951
model0_core,race_ethnicity_Other Hispanic,race_ethnicity,-0.2937602687162095,one-hot indicator versus omitted reference category,0.7454551789509982
model0_core,race_ethnicity_Other/Multi,race_ethnicity,0.24277009437901947,one-hot indicator versus omitted reference category,1.2747755123699491
model0_core,education_9-11th grade,education,0.22486199674720256,one-hot indicator versus omitted reference category,1.2521499035081083
model0_core,education_<9th grade,education,0.25438493772571047,one-hot indicator versus omitted reference category,1.289668150655285
model0_core,education_College graduate+,education,-0.2700599330972956,one-hot indicator versus omitted reference category,0.7633337440103387
model0_core,education_High school/GED,education,0.0838787859700336,one-hot indicator versus omitted reference category,1.0874970659173562
model0_core,education_Missing,education,-1.5096778511876845,one-hot indicator versus omitted reference category,0.22098115531064047
model0_core,education_Some college/AA,education,0.016223286973695225,one-hot indicator versus omitted reference category,1.0163555990376303
model0_core,smoking_Current,smoking,0.43118450417310633,one-hot indicator versus omitted reference category,1.539079490350678
model0_core,smoking_Former,smoking,-0.08069955726555822,one-hot indicator versus omitted reference category,0.9224707994644118
model0_core,smoking_Missing,smoking,-1.1389290125508065,one-hot indicator versus omitted reference category,0.320161727458646
model0_core,smoking_Never,smoking,-0.4119447112251171,one-hot indicator versus omitted reference category,0.6623608961622516
model0_core,diabetes_0.0,diabetes,-0.9443114851692936,one-hot indicator versus omitted reference category,0.38894727469915336
model0_core,diabetes_1.0,diabetes,-0.2560772916990892,one-hot indicator versus omitted reference category,0.7740821363564493
model1_renal,intercept,intercept,-1.23546411303404,model log-odds intercept after preprocessing,0.2906998134820755
model1_renal,age,age,1.1906275802792055,one training-sample standard deviation after median imputation,3.2891447621804377
model1_renal,bmi,bmi,0.1918870994814444,one training-sample standard deviation after median imputation,1.2115337264572217
model1_renal,mean_sbp,mean_sbp,-0.09768319957570552,one training-sample standard deviation after median imputation,0.9069361760129004
model1_renal,total_cholesterol,total_cholesterol,-0.31835294217051135,one training-sample standard deviation after median imputation,0.7273460320199272
model1_renal,hdl_cholesterol,hdl_cholesterol,-0.10305323826495134,one training-sample standard deviation after median imputation,0.9020789470851148
model1_renal,egfr,egfr,-0.24686875896994093,one training-sample standard deviation after median imputation,0.7812432179681758
model1_renal,log2_uacr,log2_uacr,0.19139483272527552,one training-sample standard deviation after median imputation,1.2109374754490247
model1_renal,sex_Female,sex,-0.6890714527896311,one-hot indicator versus omitted reference category,0.5020420224221404
model1_renal,sex_Male,sex,-0.48331217088007655,one-hot indicator versus omitted reference category,0.6167372659046204
model1_renal,race_ethnicity_Mexican American,race_ethnicity,-0.4644918292111819,one-hot indicator versus omitted reference category,0.6284543862193048
model1_renal,race_ethnicity_Non-Hispanic Asian,race_ethnicity,-0.5296243777673918,one-hot indicator versus omitted reference category,0.5888261043201339
model1_renal,race_ethnicity_Non-Hispanic Black,race_ethnicity,-0.06386958185848744,one-hot indicator versus omitted reference category,0.9381273403770573
model1_renal,race_ethnicity_Non-Hispanic White,race_ethnicity,-0.110072012896041,one-hot indicator versus omitted reference category,0.8957696260088513
model1_renal,race_ethnicity_Other Hispanic,race_ethnicity,-0.24934694776308106,one-hot indicator versus omitted reference category,0.7793095467714587
model1_renal,race_ethnicity_Other/Multi,race_ethnicity,0.2450211258264834,one-hot indicator versus omitted reference category,1.2776483042961644
model1_renal,education_9-11th grade,education,0.19296879702117184,one-hot indicator versus omitted reference category,1.2128449485534332
model1_renal,education_<9th grade,education,0.23573766246895672,one-hot indicator versus omitted reference category,1.265842188690349
model1_renal,education_College graduate+,education,-0.2567823028983053,one-hot indicator versus omitted reference category,0.7735365921112026
model1_renal,education_High school/GED,education,0.07446641627948489,one-hot indicator versus omitted reference category,1.0773091628648839
