Algorithm,Model,Target sample,n (events),AUROC (95% CI),PR-AUC (95% CI),Brier score (95% CI),Log loss (95% CI),Calibration intercept (95% CI),Calibration slope (95% CI),O/E ratio (95% CI)
Elastic Net,Model 0 core clinical,MEC examination sample,"7,766 (982)",0.854 (0.832 to 0.877),0.394 (0.359 to 0.433),0.071 (0.065 to 0.077),0.239 (0.221 to 0.257),-0.078 (-0.271 to 0.139),0.994 (0.892 to 1.123),0.952 (0.885 to 1.018)
Elastic Net,Model 1 renal,MEC examination sample,"7,766 (982)",0.858 (0.835 to 0.880),0.416 (0.378 to 0.456),0.070 (0.064 to 0.076),0.236 (0.219 to 0.253),-0.064 (-0.262 to 0.151),0.997 (0.898 to 1.122),0.959 (0.894 to 1.024)
Elastic Net,Model 0 paired metabolic sample,fasting subsample,"3,397 (434)",0.845 (0.815 to 0.877),0.393 (0.349 to 0.447),0.069 (0.062 to 0.075),0.237 (0.216 to 0.258),-0.210 (-0.449 to 0.065),0.958 (0.828 to 1.155),0.899 (0.797 to 1.003)
Elastic Net,Model 2 metabolic,fasting subsample,"3,397 (434)",0.845 (0.817 to 0.875),0.395 (0.351 to 0.451),0.069 (0.062 to 0.075),0.236 (0.216 to 0.257),-0.190 (-0.428 to 0.073),0.958 (0.832 to 1.139),0.912 (0.809 to 1.018)
Elastic Net,Model 3 inflammatory,MEC examination sample,"7,766 (982)",0.855 (0.833 to 0.879),0.402 (0.365 to 0.442),0.070 (0.065 to 0.076),0.237 (0.220 to 0.256),-0.065 (-0.264 to 0.162),1.000 (0.896 to 1.133),0.955 (0.889 to 1.019)
Elastic Net,Model 0 paired combined sample,fasting subsample,"3,397 (434)",0.845 (0.815 to 0.877),0.393 (0.349 to 0.447),0.069 (0.062 to 0.075),0.237 (0.216 to 0.258),-0.210 (-0.449 to 0.065),0.958 (0.828 to 1.155),0.899 (0.797 to 1.003)
Elastic Net,Model 4 combined biomarkers,fasting subsample,"3,397 (434)",0.852 (0.824 to 0.881),0.418 (0.370 to 0.472),0.068 (0.061 to 0.074),0.232 (0.212 to 0.252),-0.162 (-0.399 to 0.088),0.963 (0.841 to 1.127),0.927 (0.822 to 1.029)
XGBoost,Model 0 core clinical,MEC examination sample,"7,766 (982)",0.862 (0.840 to 0.884),0.420 (0.370 to 0.471),0.069 (0.064 to 0.075),0.233 (0.217 to 0.252),-0.124 (-0.317 to 0.082),0.984 (0.880 to 1.112),0.932 (0.865 to 1.000)
XGBoost,Model 1 renal,MEC examination sample,"7,766 (982)",0.864 (0.841 to 0.887),0.426 (0.378 to 0.475),0.069 (0.063 to 0.075),0.232 (0.215 to 0.250),-0.100 (-0.305 to 0.122),0.996 (0.889 to 1.129),0.937 (0.872 to 1.001)
XGBoost,Model 0 paired metabolic sample,fasting subsample,"3,397 (434)",0.853 (0.823 to 0.887),0.432 (0.387 to 0.482),0.067 (0.060 to 0.073),0.231 (0.208 to 0.253),-0.153 (-0.374 to 0.095),1.015 (0.887 to 1.207),0.884 (0.785 to 0.987)
XGBoost,Model 2 metabolic,fasting subsample,"3,397 (434)",0.852 (0.823 to 0.884),0.425 (0.368 to 0.485),0.067 (0.061 to 0.074),0.232 (0.209 to 0.254),-0.152 (-0.382 to 0.087),1.007 (0.877 to 1.199),0.891 (0.785 to 0.999)
XGBoost,Model 3 inflammatory,MEC examination sample,"7,766 (982)",0.864 (0.841 to 0.887),0.425 (0.377 to 0.475),0.069 (0.063 to 0.075),0.232 (0.215 to 0.251),-0.068 (-0.274 to 0.156),1.020 (0.912 to 1.157),0.934 (0.868 to 1.001)
XGBoost,Model 0 paired combined sample,fasting subsample,"3,397 (434)",0.853 (0.823 to 0.887),0.432 (0.387 to 0.482),0.067 (0.060 to 0.073),0.231 (0.208 to 0.253),-0.153 (-0.374 to 0.095),1.015 (0.887 to 1.207),0.884 (0.785 to 0.987)
XGBoost,Model 4 combined biomarkers,fasting subsample,"3,397 (434)",0.856 (0.828 to 0.888),0.442 (0.395 to 0.493),0.066 (0.060 to 0.073),0.229 (0.207 to 0.250),-0.179 (-0.421 to 0.083),0.966 (0.846 to 1.137),0.914 (0.813 to 1.011)
