period,model,weight_variable,predictor,analysis_sample_n,missing_n,missing_percent
Development 2005-2018,model0_core,combined_mec_weight,age,37482,0,0.0
Development 2005-2018,model0_core,combined_mec_weight,sex,37482,0,0.0
Development 2005-2018,model0_core,combined_mec_weight,race_ethnicity,37482,0,0.0
Development 2005-2018,model0_core,combined_mec_weight,education,37482,50,0.13
Development 2005-2018,model0_core,combined_mec_weight,smoking,37482,27,0.07
Development 2005-2018,model0_core,combined_mec_weight,bmi,37482,563,1.5
Development 2005-2018,model0_core,combined_mec_weight,mean_sbp,37482,1632,4.35
Development 2005-2018,model0_core,combined_mec_weight,diabetes,37482,0,0.0
Development 2005-2018,model0_core,combined_mec_weight,total_cholesterol,37482,2268,6.05
Development 2005-2018,model0_core,combined_mec_weight,hdl_cholesterol,37482,2268,6.05
Development 2005-2018,model1_renal,combined_mec_weight,age,37482,0,0.0
Development 2005-2018,model1_renal,combined_mec_weight,sex,37482,0,0.0
Development 2005-2018,model1_renal,combined_mec_weight,race_ethnicity,37482,0,0.0
Development 2005-2018,model1_renal,combined_mec_weight,education,37482,50,0.13
Development 2005-2018,model1_renal,combined_mec_weight,smoking,37482,27,0.07
Development 2005-2018,model1_renal,combined_mec_weight,bmi,37482,563,1.5
Development 2005-2018,model1_renal,combined_mec_weight,mean_sbp,37482,1632,4.35
Development 2005-2018,model1_renal,combined_mec_weight,diabetes,37482,0,0.0
Development 2005-2018,model1_renal,combined_mec_weight,total_cholesterol,37482,2268,6.05
Development 2005-2018,model1_renal,combined_mec_weight,hdl_cholesterol,37482,2268,6.05
Development 2005-2018,model1_renal,combined_mec_weight,egfr,37482,2385,6.36
Development 2005-2018,model1_renal,combined_mec_weight,log2_uacr,37482,952,2.54
Development 2005-2018,model2_metabolic,combined_fasting_weight,age,15956,0,0.0
Development 2005-2018,model2_metabolic,combined_fasting_weight,sex,15956,0,0.0
Development 2005-2018,model2_metabolic,combined_fasting_weight,race_ethnicity,15956,0,0.0
Development 2005-2018,model2_metabolic,combined_fasting_weight,education,15956,16,0.1
Development 2005-2018,model2_metabolic,combined_fasting_weight,smoking,15956,15,0.09
Development 2005-2018,model2_metabolic,combined_fasting_weight,bmi,15956,199,1.25
Development 2005-2018,model2_metabolic,combined_fasting_weight,mean_sbp,15956,545,3.42
Development 2005-2018,model2_metabolic,combined_fasting_weight,diabetes,15956,0,0.0
Development 2005-2018,model2_metabolic,combined_fasting_weight,total_cholesterol,15956,152,0.95
Development 2005-2018,model2_metabolic,combined_fasting_weight,hdl_cholesterol,15956,152,0.95
Development 2005-2018,model2_metabolic,combined_fasting_weight,tyg_wc,15956,749,4.69
Development 2005-2018,model3_inflammatory,combined_mec_weight,age,37482,0,0.0
Development 2005-2018,model3_inflammatory,combined_mec_weight,sex,37482,0,0.0
Development 2005-2018,model3_inflammatory,combined_mec_weight,race_ethnicity,37482,0,0.0
Development 2005-2018,model3_inflammatory,combined_mec_weight,education,37482,50,0.13
Development 2005-2018,model3_inflammatory,combined_mec_weight,smoking,37482,27,0.07
Development 2005-2018,model3_inflammatory,combined_mec_weight,bmi,37482,563,1.5
Development 2005-2018,model3_inflammatory,combined_mec_weight,mean_sbp,37482,1632,4.35
Development 2005-2018,model3_inflammatory,combined_mec_weight,diabetes,37482,0,0.0
Development 2005-2018,model3_inflammatory,combined_mec_weight,total_cholesterol,37482,2268,6.05
Development 2005-2018,model3_inflammatory,combined_mec_weight,hdl_cholesterol,37482,2268,6.05
Development 2005-2018,model3_inflammatory,combined_mec_weight,siri,37482,1927,5.14
Development 2005-2018,model4_combined,combined_fasting_weight,age,15956,0,0.0
Development 2005-2018,model4_combined,combined_fasting_weight,sex,15956,0,0.0
Development 2005-2018,model4_combined,combined_fasting_weight,race_ethnicity,15956,0,0.0
Development 2005-2018,model4_combined,combined_fasting_weight,education,15956,16,0.1
Development 2005-2018,model4_combined,combined_fasting_weight,smoking,15956,15,0.09
Development 2005-2018,model4_combined,combined_fasting_weight,bmi,15956,199,1.25
Development 2005-2018,model4_combined,combined_fasting_weight,mean_sbp,15956,545,3.42
Development 2005-2018,model4_combined,combined_fasting_weight,diabetes,15956,0,0.0
Development 2005-2018,model4_combined,combined_fasting_weight,total_cholesterol,15956,152,0.95
Development 2005-2018,model4_combined,combined_fasting_weight,hdl_cholesterol,15956,152,0.95
Development 2005-2018,model4_combined,combined_fasting_weight,egfr,15956,203,1.27
Development 2005-2018,model4_combined,combined_fasting_weight,log2_uacr,15956,193,1.21
Development 2005-2018,model4_combined,combined_fasting_weight,tyg_wc,15956,749,4.69
Development 2005-2018,model4_combined,combined_fasting_weight,siri,15956,64,0.4
Temporal 2021-2023,model0_core,combined_mec_weight,age,7766,0,0.0
Temporal 2021-2023,model0_core,combined_mec_weight,sex,7766,0,0.0
Temporal 2021-2023,model0_core,combined_mec_weight,race_ethnicity,7766,0,0.0
Temporal 2021-2023,model0_core,combined_mec_weight,education,7766,25,0.32
Temporal 2021-2023,model0_core,combined_mec_weight,smoking,7766,28,0.36
Temporal 2021-2023,model0_core,combined_mec_weight,bmi,7766,1837,23.65
Temporal 2021-2023,model0_core,combined_mec_weight,mean_sbp,7766,1942,25.01
Temporal 2021-2023,model0_core,combined_mec_weight,diabetes,7766,2,0.03
Temporal 2021-2023,model0_core,combined_mec_weight,total_cholesterol,7766,2304,29.67
Temporal 2021-2023,model0_core,combined_mec_weight,hdl_cholesterol,7766,2304,29.67
Temporal 2021-2023,model1_renal,combined_mec_weight,age,7766,0,0.0
Temporal 2021-2023,model1_renal,combined_mec_weight,sex,7766,0,0.0
Temporal 2021-2023,model1_renal,combined_mec_weight,race_ethnicity,7766,0,0.0
Temporal 2021-2023,model1_renal,combined_mec_weight,education,7766,25,0.32
Temporal 2021-2023,model1_renal,combined_mec_weight,smoking,7766,28,0.36
Temporal 2021-2023,model1_renal,combined_mec_weight,bmi,7766,1837,23.65
Temporal 2021-2023,model1_renal,combined_mec_weight,mean_sbp,7766,1942,25.01
Temporal 2021-2023,model1_renal,combined_mec_weight,diabetes,7766,2,0.03
Temporal 2021-2023,model1_renal,combined_mec_weight,total_cholesterol,7766,2304,29.67
Temporal 2021-2023,model1_renal,combined_mec_weight,hdl_cholesterol,7766,2304,29.67
Temporal 2021-2023,model1_renal,combined_mec_weight,egfr,7766,2359,30.38
Temporal 2021-2023,model1_renal,combined_mec_weight,log2_uacr,7766,1896,24.41
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,age,3397,0,0.0
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,sex,3397,0,0.0
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,race_ethnicity,3397,0,0.0
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,education,3397,2,0.06
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,smoking,3397,4,0.12
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,bmi,3397,45,1.32
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,mean_sbp,3397,121,3.56
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,diabetes,3397,0,0.0
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,total_cholesterol,3397,321,9.45
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,hdl_cholesterol,3397,321,9.45
Temporal 2021-2023,model2_metabolic,combined_fasting_weight,tyg_wc,3397,474,13.95
Temporal 2021-2023,model3_inflammatory,combined_mec_weight,age,7766,0,0.0
Temporal 2021-2023,model3_inflammatory,combined_mec_weight,sex,7766,0,0.0
Temporal 2021-2023,model3_inflammatory,combined_mec_weight,race_ethnicity,7766,0,0.0
Temporal 2021-2023,model3_inflammatory,combined_mec_weight,education,7766,25,0.32
