comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_AUROC,0.0046120992637825875,0.0046023949127991905,-9.704350983396996e-06,0.0007926791741856314,0.00308498902285731,0.0061666262991929505,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_PR_AUC,0.016092199963616716,0.01614956397999168,5.7364016374964605e-05,0.003169041318677021,0.010147918728596142,0.02230267445159301,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_Brier_improvement,0.0008860811119815043,0.0008844692452468317,-1.6118667346726352e-06,0.00015467191070188497,0.0005870664922318238,0.0011840331434242173,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_log_loss_improvement,0.0027247984481862386,0.002718825562051185,-5.9728861350537114e-06,0.0004605361205804833,0.0018523980573066506,0.003623602593335995,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,core_calibration_intercept,-0.012314323075765592,-0.012083512716726943,0.0002308103590386492,0.035962138626816624,-0.08166083870216218,0.05983864929337084,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,extended_calibration_intercept,-0.011516327022072472,-0.011392095846843699,0.00012423117522877315,0.03590364105205021,-0.08150239120422673,0.058550343308367635,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,core_calibration_slope,0.9935460083829358,0.9939185851891489,0.0003725768062130541,0.017077632211897877,0.9613078054959914,1.028007138602001,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,extended_calibration_slope,0.9936395025981449,0.9939395726134663,0.00030007001532139643,0.016982594551397476,0.960102656312668,1.027020884905685,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,absolute_intercept_deviation_change,0.0007979960536931199,0.00011481114323295846,-0.0006831849104601613,0.00848411549743916,-0.01685338650941643,0.016958424064359323,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,absolute_slope_deviation_change,9.349421520910006e-05,8.576123637316474e-05,-7.73297883593532e-06,0.004379916465293394,-0.008444205930589373,0.008739158471268738,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_AUROC,0.002912927189123393,0.0029062461258235403,-6.681063299852907e-06,0.0007614570490115132,0.0013964675250177998,0.004398228267149748,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_PR_AUC,0.010270568696291338,0.010409238167891254,0.00013866947159991636,0.003934280147133548,0.0028819800917690747,0.01829702932684623,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_Brier_improvement,0.0006313757864461478,0.0006318754989777678,4.9971253162002e-07,0.00017579876247989434,0.0003079844421038329,0.0009759303209870478,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_log_loss_improvement,0.001800336424897686,0.0017989510584802573,-1.3853664174287485e-06,0.000492982483753316,0.0008367045243734114,0.0027339230134074584,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,core_calibration_intercept,0.029417105422321524,0.029292913240257127,-0.00012419218206439694,0.037006746302087314,-0.04274126602544674,0.10101483781290142,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,extended_calibration_intercept,0.009106308991381803,0.009155313243492199,4.900425211039512e-05,0.03805019144064728,-0.06418219446768268,0.08324676416131753,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,core_calibration_slope,1.016022249103375,1.016263715344854,0.00024146624147891593,0.01707520653190637,0.9832618427474317,1.049860164875205,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,extended_calibration_slope,1.0046939203699354,1.0049856580770558,0.0002917377071203209,0.017756535927360057,0.9714755338649539,1.0388578046627677,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,absolute_intercept_deviation_change,0.02031079643093972,0.006966683054195555,-0.013344113376744165,0.01927474580084132,-0.0326779627592464,0.036952101039603245,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
renal,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,absolute_slope_deviation_change,0.011328328733439585,0.004586353483449696,-0.00674197524998989,0.010211954144161737,-0.01704002895253051,0.01995975144778607,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
