target_population,comparison_sample,model,model_label,algorithm,weight_variable,n_cycles,total_n_across_validation_cycles,total_events_across_validation_cycles,survey_weighted_AUROC_mean,survey_weighted_AUROC_sd,survey_weighted_PR_AUC_mean,survey_weighted_PR_AUC_sd,weighted_Brier_mean,weighted_Brier_sd,weighted_log_loss_mean,weighted_log_loss_sd,calibration_intercept_mean,calibration_intercept_sd,calibration_slope_mean,calibration_slope_sd,weighted_observed_prevalence_mean,weighted_observed_prevalence_sd,weighted_mean_predicted_probability_mean,weighted_mean_predicted_probability_sd
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,7,37482,4222,0.848724129345068,0.00687989200426303,0.3686664688458211,0.011413774775470176,0.06581388351625395,0.0029078788281084295,0.22642869004460822,0.007663046804564089,-0.008457821125915985,0.09016989336452794,0.9953486216795306,0.03537142886967031,0.08800566465490334,0.004556742535913581,0.08801131533529179,0.004664304243098881
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,combined_mec_weight,7,37482,4222,0.852797408390653,0.00795386238948325,0.3815494550251131,0.020914001557472858,0.06525060596601874,0.0031025042494788315,0.22443357280340218,0.008759699261165314,0.05010388944331084,0.17285598956387394,1.0247115727911054,0.06486165388279021,0.08800566465490334,0.004556742535913581,0.0876609957678067,0.006685402038224156
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,7,37482,4222,0.8498288608692242,0.006849986956813217,0.37192798416590417,0.01282678141217342,0.06566302959558243,0.0030512904484867242,0.22590510236158806,0.007818201081065838,-0.0069291256509290845,0.09957114757883286,0.9958323865150521,0.03633442772962519,0.08800566465490334,0.004556742535913581,0.08800767594777233,0.005263044796158995
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,7,37482,4222,0.8534213735248428,0.008426139468199607,0.3834214263641553,0.022767513858176543,0.06519985917213163,0.003364987505700438,0.22421379049215337,0.009029806980430613,0.04021973325910077,0.19061590787819346,1.018923675704276,0.07155535036998589,0.08800566465490334,0.004556742535913581,0.08772148784012468,0.00731913200025783
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,7,37482,4222,0.8531979579280531,0.006722579532296213,0.385132963007148,0.019281180641016922,0.06491590828999434,0.003056059815505271,0.22367701090243305,0.007865888707395578,-0.00861399256141643,0.0898209485743756,0.9951992125567839,0.035716189149957646,0.08800566465490334,0.004556742535913581,0.08799947680615193,0.004170908508679145
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,7,37482,4222,0.8555303310604699,0.007426213950846122,0.39178570381929767,0.027415609201509136,0.0646036687723547,0.0032068071930312072,0.2226088485121214,0.008715188207138036,0.020741775755809662,0.12948557115366238,1.009420845556517,0.052256031196113314,0.08800566465490334,0.004556742535913581,0.0877877356073212,0.00602290212463594
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,7,15956,1813,0.8443926674263104,0.015227020358624076,0.37028855318213466,0.023850503759301086,0.0686482878484358,0.005211898443356717,0.23528814773217313,0.016110385587197223,-0.0171933931337434,0.13587477138626072,0.9919144717413254,0.09785448708519438,0.0917873850951535,0.006083784419235608,0.09181097669038416,0.004876040860538721
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,7,15956,1813,0.8457207918876039,0.017607435734737213,0.38418486522034756,0.026894911049418685,0.06817964637210612,0.005709990886509936,0.23446041698603634,0.01739290064755572,0.02614872761022261,0.16056088252068848,1.016128859687216,0.09565990595307398,0.0917873850951535,0.006083784419235608,0.09171552304108069,0.0075709727453580865
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,7,15956,1813,0.8519261922736971,0.014900993000575331,0.3952765724503312,0.02450634446122219,0.06725115805094688,0.005185633254019541,0.23093297442069252,0.016024036714115036,-0.019038077721075016,0.12294935489558563,0.9907635248785865,0.09244867517779737,0.0917873850951535,0.006083784419235608,0.09177569007540679,0.004302562289990409
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,combined_fasting_weight,7,15956,1813,0.8494451399965891,0.019958611123720178,0.40460632548707914,0.04493645569416961,0.06725896204052838,0.0062571007394316884,0.23174873659449308,0.019319641871511237,0.01704512882190765,0.22278068809186458,1.0067917911635569,0.12638139474497953,0.0917873850951535,0.006083784419235608,0.09127250820323758,0.0072434199118701454
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,combined_fasting_weight,7,15956,1813,0.8443926674263104,0.015227020358624076,0.37028855318213466,0.023850503759301086,0.0686482878484358,0.005211898443356717,0.23528814773217313,0.016110385587197223,-0.0171933931337434,0.13587477138626072,0.9919144717413254,0.09785448708519438,0.0917873850951535,0.006083784419235608,0.09181097669038416,0.004876040860538721
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,xgboost,combined_fasting_weight,7,15956,1813,0.8457207918876039,0.017607435734737213,0.38418486522034756,0.026894911049418685,0.06817964637210612,0.005709990886509936,0.23446041698603634,0.01739290064755572,0.02614872761022261,0.16056088252068848,1.016128859687216,0.09565990595307398,0.0917873850951535,0.006083784419235608,0.09171552304108069,0.0075709727453580865
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,combined_fasting_weight,7,15956,1813,0.8457410543585009,0.014549470531453269,0.3708485587495131,0.023405477212519316,0.06853609944968249,0.005365828508980543,0.2347810502669492,0.01634711970197464,-0.017076454523112617,0.13244894686624922,0.9923443077638822,0.09884042027406362,0.0917873850951535,0.006083784419235608,0.09184901476816977,0.004616734800304565
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,xgboost,combined_fasting_weight,7,15956,1813,0.8462215301943032,0.01842586013904161,0.3811360888022332,0.03263975462917217,0.06848971353788476,0.006151337632235209,0.23480025646007135,0.018279241119028594,-0.004280893131398654,0.2029082859444032,0.9963649408220927,0.11999516043075671,0.0917873850951535,0.006083784419235608,0.09159081793058559,0.007334069513946369
