target_population,comparison_sample,model,model_label,algorithm,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,survey_weighted_AUROC,0.848724129345068,0.8486199829793313,-0.00010414636573674585,0.003886415918276638,0.8412906900664865,0.8560586916268971,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,survey_weighted_PR_AUC,0.36866646884582116,0.37074133029127015,0.0020748614454489944,0.007984315409127134,0.3553078892082806,0.38590550495173387,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,weighted_Brier,0.06581388351625402,0.06579329813553297,-2.0585380721041546e-05,0.0014991777206697706,0.06283939245442735,0.06873099226068709,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,weighted_log_loss,0.22642869004460825,0.22636900872955343,-5.968131505482144e-05,0.00447467672850701,0.21720459758740165,0.2350796381107234,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,calibration_intercept,-0.008457821125916292,-0.007264123849537266,0.001193697276379026,0.03615349205925976,-0.07661383303588393,0.06361589387247933,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,calibration_slope,0.9953486216795294,0.9971603112793745,0.0018116895998451232,0.017380393445038174,0.964037276839236,1.031398313372113,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,observed_expected_ratio,1.001095279899438,1.0012291247229932,0.0001338448235552736,0.018348704721752904,0.9657717684684031,1.037641728302537,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,weighted_observed_prevalence,0.08800566465490338,0.08797433194354841,-3.1332711354969955e-05,0.002249232302824055,0.08353695680858696,0.09220626989055677,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,weighted_mean_predicted_probability,0.0880113153352918,0.08795829098808446,-5.3024347207344946e-05,0.0014690706759775544,0.08512840171518919,0.09087498091857389,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,combined_mec_weight,calibration_in_the_large,-1.7932480243525767e-05,-0.0009771781191216082,-0.0009592456388780824,0.019979730993929513,-0.04070379994294461,0.03811027683807199,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,combined_mec_weight,survey_weighted_AUROC,0.8527974083906532,0.852692326936142,-0.0001050814545111578,0.003720011936271635,0.8453380242790893,0.8597922397980011,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,combined_mec_weight,survey_weighted_PR_AUC,0.3815494550251132,0.38424764255090427,0.0026981875257910404,0.008226868806334109,0.36829533037288953,0.4003279460376034,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,combined_mec_weight,weighted_Brier,0.06525060598633822,0.06522922489777161,-2.138108856661325e-05,0.0014728727755732192,0.062327955505022674,0.06816467578650073,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
