,bmi,waist,tyg_wc,triglycerides_harmonized,fasting_glucose,diabetes,total_cholesterol,hdl_cholesterol,egfr,serum_creatinine,uacr
bmi,1.0,0.9021630654639272,0.8174612278361452,0.1334206087755081,0.18379234489528065,0.2139743208801307,0.011396467878660624,-0.27329038415302515,-0.06010158114360234,0.016872705323258644,0.00919990228735454
waist,0.9021630654639272,1.0,0.9291860200591383,0.18546834481139685,0.24649392387791053,0.2738336539175763,0.02201665967994083,-0.3413513485656514,-0.15930976786165868,0.08661746845390847,0.01658210116419385
tyg_wc,0.8174612278361452,0.9291860200591383,1.0,0.4477834085269625,0.41404545451378133,0.37988458324274615,0.12388399794407925,-0.4513873190465165,-0.16744174527830263,0.08344650446829233,0.08819145657241136
triglycerides_harmonized,0.1334206087755081,0.18546834481139685,0.4477834085269625,1.0,0.22204968929463698,0.15436407523687865,0.33530777995641864,-0.36223832250800003,-0.025532974074091625,0.025207063833497276,0.06643082784747874
fasting_glucose,0.18379234489528065,0.24649392387791053,0.41404545451378133,0.22204968929463698,1.0,0.6255169109961715,0.02978802954441641,-0.16491492509829772,-0.11518395903969426,0.03466497786081356,0.16226981128424658
diabetes,0.2139743208801307,0.2738336539175763,0.37988458324274615,0.15436407523687865,0.6255169109961715,1.0,-0.07644052982907211,-0.13516342442731363,-0.22229321498211188,0.11210625816799175,0.0783466006112345
total_cholesterol,0.011396467878660624,0.02201665967994083,0.12388399794407925,0.33530777995641864,0.02978802954441641,-0.07644052982907211,1.0,0.16549114809320986,-0.01935272544164296,-0.05796507567845269,0.026629950588438197
hdl_cholesterol,-0.27329038415302515,-0.3413513485656514,-0.4513873190465165,-0.36223832250800003,-0.16491492509829772,-0.13516342442731363,0.16549114809320986,1.0,-0.03876275016762061,-0.07629746919712346,-0.012770483140143913
egfr,-0.06010158114360234,-0.15930976786165868,-0.16744174527830263,-0.025532974074091625,-0.11518395903969426,-0.22229321498211188,-0.01935272544164296,-0.03876275016762061,1.0,-0.5996641762981276,-0.1766982376794274
serum_creatinine,0.016872705323258644,0.08661746845390847,0.08344650446829233,0.025207063833497276,0.03466497786081356,0.11210625816799175,-0.05796507567845269,-0.07629746919712346,-0.5996641762981276,1.0,0.3350320351539983
uacr,0.00919990228735454,0.01658210116419385,0.08819145657241136,0.06643082784747874,0.16226981128424658,0.0783466006112345,0.026629950588438197,-0.012770483140143913,-0.1766982376794274,0.3350320351539983,1.0
