cycle,comparison,algorithm,core_model,extended_model,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,delta_AUROC,0.00387057386394718,0.0037706167538896257,-9.995711005755413e-05,0.001928428422488714,1.595133957986487e-05,0.007507061652993906,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,delta_PR_AUC,0.021962040737758592,0.020932264138110463,-0.0010297765996481294,0.005586596168741191,0.009767988202174536,0.031055351015114894,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,delta_Brier_improvement,0.0009618274007310024,0.0009602626063074102,-1.5647944235921366e-06,0.00033833700845786827,0.00030075464222117216,0.0016025599577821953,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,delta_log_loss_improvement,0.0027857655482079746,0.002779203908333963,-6.561639874011829e-06,0.0011166422310001048,0.0006248977444181591,0.004968372991208236,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,core_calibration_intercept,-0.07775319161558682,-0.0742160051556855,0.003537186459901323,0.10501285693626437,-0.2709418008376595,0.13884540088981112,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,extended_calibration_intercept,-0.06364756081683379,-0.06093397134004111,0.002713589476792677,0.10602525801282801,-0.2620066219932158,0.1513341282120917,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,core_calibration_slope,0.9936936130133414,0.9978438705333676,0.00415025752002629,0.06068186476069163,0.8919684670963578,1.1230151735301026,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,extended_calibration_slope,0.9966631158323143,1.0004135883993244,0.0037504725670101102,0.05951855861142117,0.8975862023549547,1.1220656512741531,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,absolute_intercept_deviation_change,0.01410563079875303,0.006066210056776655,-0.008039420741976375,0.02000078685721065,-0.03373881315922953,0.043043026697422666,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,absolute_slope_deviation_change,0.0029695028189729022,0.0007760237356646462,-0.002193479083308256,0.009289514464121308,-0.01707085907756861,0.018775988718915237,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
