cycle,algorithm,model,model_label,target_population,comparison_sample,n,events,weight_variable,survey_weighted_AUROC,survey_weighted_PR_AUC,weighted_Brier,weighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,0.8537297794306917,0.3940339076059577,0.07057146671235089,0.23852966634642617,-0.07775319161558682,0.9936936130133414,0.9520669082334876,0.09695569595871846,0.10183706115635811,-0.054540082068057494
2021-2023,elastic_net,model1_renal,Model 1 renal,MEC examination sample,renal comparison sample,7766,982,combined_mec_weight,0.8576003532946389,0.4159959483437163,0.06960963931161988,0.2357439007982182,-0.06364756081683379,0.9966631158323143,0.9593382989836338,0.09695569595871846,0.10106517801013229,-0.04607258817557103
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,0.8454983340127135,0.3954224873340644,0.06889398449799101,0.23649923281583518,-0.19029761005623785,0.9575987479581746,0.9119209906726681,0.09335715157717278,0.10237416676669428,-0.10219721115558311
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,0.8552883224621002,0.4022506659581026,0.07022666249867698,0.23741472468231944,-0.06453730096298063,1.0001910886804646,0.9546554626192594,0.09695569595871846,0.10156092931443983,-0.051517499438263226
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,0.8519438896052145,0.41812929854291603,0.0675509954143531,0.2320081309576234,-0.1623083555330749,0.962897283556809,0.9274001375851872,0.09335715157717278,0.10066544934990089,-0.08346365714844461
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,0.8445283446324776,0.39313762164988486,0.06892074054202914,0.2370130868293906,-0.2096166730688555,0.9580870019104686,0.8985188679604661,0.09335715157717278,0.10390115879155962,-0.11870545299496538
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,0.8445283446324776,0.39313762164988486,0.06892074054202914,0.2370130868293906,-0.2096166730688555,0.9580870019104686,0.8985188679604661,0.09335715157717278,0.10390115879155962,-0.11870545299496538
2021-2023,xgboost,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,0.8621736564768957,0.4195517124126565,0.06915381468828727,0.23325840558485472,-0.12383156614525577,0.9838804149290225,0.931774235882858,0.09695569595871846,0.1040549225605629,-0.07855723160419181
2021-2023,xgboost,model1_renal,Model 1 renal,MEC examination sample,renal comparison sample,7766,982,combined_mec_weight,0.8639780653469376,0.426024915518285,0.06874826149383224,0.23214338471916265,-0.10035228644887832,0.9956056462429321,0.9366894623186295,0.09695569595871846,0.10350890007742766,-0.0726867185919593
2021-2023,xgboost,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,0.851856016899354,0.4251116809112644,0.06738894903571932,0.23211830291974028,-0.15156934695899751,1.006604732030674,0.8913503933022803,0.09335715157717278,0.10473675927970666,-0.1276484717571953
2021-2023,xgboost,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,0.8635423119092513,0.4252128491780646,0.06875661936370053,0.23220067493261878,-0.06800620882624535,1.019898160208602,0.9344390138663669,0.09695569595871846,0.103758184878809,-0.0753702707974706
2021-2023,xgboost,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,0.8564063696826409,0.4424306482774717,0.06627765630509747,0.22858715761539908,-0.17915306557516356,0.9658168936294809,0.914212559732718,0.09335715157717278,0.10211755524827505,-0.09940162295404598
2021-2023,xgboost,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,0.852904475984044,0.43190709140367417,0.06691846296497665,0.2310284844586254,-0.15250542010749696,1.015177186212524,0.8835991945341677,0.09335715157717278,0.10565554173732644,-0.13740931812988855
2021-2023,xgboost,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,0.852904475984044,0.43190709140367417,0.06691846296497665,0.2310284844586254,-0.15250542010749696,1.015177186212524,0.8835991945341677,0.09335715157717278,0.10565554173732644,-0.13740931812988855
