cycle,algorithm,model,model_label,target_population,comparison_sample,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,survey_weighted_AUROC,0.8537297794306917,0.853786480988797,5.670155810522104e-05,0.011582811361473377,0.8316574246563267,0.8765755795264064,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,survey_weighted_PR_AUC,0.3940339076059577,0.39611042694250165,0.0020765193365439583,0.018901592351564786,0.3586054369875913,0.43253249402014626,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,weighted_Brier,0.07057146671235089,0.07063714093897457,6.567422662367983e-05,0.003147970220935939,0.0648307687967598,0.07673325534500743,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,weighted_log_loss,0.23852966634642617,0.23864294587540194,0.00011327952897577376,0.009337063397366152,0.22120865171787557,0.25714393032397864,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,calibration_intercept,-0.07775319161558682,-0.0742160051556855,0.003537186459901323,0.10501285693626437,-0.2709418008376595,0.13884540088981112,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,calibration_slope,0.9936936130133414,0.9978438705333676,0.00415025752002629,0.06068186476069163,0.8919684670963578,1.1230151735301026,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,observed_expected_ratio,0.9520669082334876,0.952158919952183,9.201171869543945e-05,0.034629194845354525,0.8852012140446225,1.0177221216352839,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,weighted_observed_prevalence,0.09695569595871846,0.09709409020457789,0.00013839424585943005,0.005140719429047566,0.08765668520971824,0.10751696105635261,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,weighted_mean_predicted_probability,0.10183706115635811,0.10196258845668413,0.00012552730032601433,0.0036508459953796344,0.0952897320400318,0.10943840029635428,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,calibration_in_the_large,-0.054540082068057494,-0.05508466006196714,-0.0005445779939096465,0.04032844504212831,-0.13459457362568203,0.0195924668038406,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
