period,comparison,algorithm,core_model,extended_model,outcome_definition,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,delta_AUROC,0.004594775702782772,0.00459530294913767,5.27246354898453e-07,0.0007932350435870135,0.0030297940695936222,0.006202634629470172,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,delta_PR_AUC,0.01645642154711119,0.016567964509872087,0.00011154296276089798,0.0032085856680820076,0.010356078124312777,0.022821597605220505,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,delta_Brier_improvement,0.0009140938750188538,0.0009187025672915956,4.608692272741865e-06,0.00015690810884046885,0.0006161857259252946,0.0012239373090443542,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,delta_log_loss_improvement,0.0027824497063502485,0.002790009716842002,7.560010491753505e-06,0.0004641192359924187,0.001903051676842128,0.003711233646745685,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,core_calibration_intercept,0.009603874005276632,0.00939463329004363,-0.00020924071523300246,0.03684650304062812,-0.062215723555486706,0.08490182003308971,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,extended_calibration_intercept,0.012067078985599307,0.011964453808912477,-0.00010262517668683038,0.036907539764121644,-0.06075386038021918,0.08676502336498992,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,core_calibration_slope,1.000303192292681,1.000283507386317,-1.9684906364059174e-05,0.01733939981574336,0.9664374934868637,1.0333302702011873,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,extended_calibration_slope,1.001116480169546,1.0011886126354115,7.213246586545985e-05,0.017289801637015243,0.9678471485543116,1.0344854706032316,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,absolute_intercept_deviation_change,-0.0024632049803226756,-0.0005597091491477677,0.0019034958311749078,0.008992508144724562,-0.018370507259164396,0.016721592488940316,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,absolute_slope_deviation_change,-0.0008132878768649654,-1.1940571097813824e-05,0.0008013473057671516,0.004592179918819983,-0.008817089263029034,0.009141804122000725,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,delta_AUROC,0.0038534344684127975,0.003808925329154125,-4.4509139258672604e-05,0.001976323927415711,-0.00019866901150126671,0.007596168975768901,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,delta_PR_AUC,0.021765587387597096,0.020850072285084984,-0.0009155151025121121,0.005768066966088443,0.009396241001390152,0.03191578254694049,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,delta_Brier_improvement,0.0009788681229302154,0.0009836038496368962,4.735726706680795e-06,0.00035667533952147244,0.0002779226068042408,0.0016755555944664381,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,delta_log_loss_improvement,0.0028102350022312372,0.0028305159828999494,2.028098066871216e-05,0.00116666191235616,0.0005537024729652799,0.0050901782388923355,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,core_calibration_intercept,-0.0548542338987707,-0.056916282529561955,-0.0020620486307912564,0.10654197709115472,-0.263231440796969,0.1450507736635421,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,extended_calibration_intercept,-0.04003780789947375,-0.04191101904998445,-0.0018732111505107008,0.10746662382785338,-0.2510700372006412,0.16220236531038312,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,core_calibration_slope,1.0013584093395211,1.002019410672654,0.0006610013331329601,0.0630035684188388,0.8897606797578056,1.1260263954721506,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,extended_calibration_slope,1.0046060669600279,1.0053298286635648,0.0007237617035369404,0.061327831752276664,0.8980167584621412,1.124275379412586,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,absolute_intercept_deviation_change,0.014816425999296952,0.004315977805979725,-0.010500448193317226,0.021403308858304198,-0.03859756735250966,0.04339613659517052,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,renal,elastic_net,model0_core,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,absolute_slope_deviation_change,-0.0032476576205067165,0.0007648122910141006,0.0040124699115208174,0.009848298743212889,-0.018115934029586275,0.01978833502719624,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
