period,algorithm,model,outcome_definition,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,survey_weighted_AUROC,0.8499102476620827,0.8497948887625276,-0.00011535889955505141,0.0038643626290032133,0.8422156154024267,0.8571385565922037,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,survey_weighted_PR_AUC,0.37041744265632576,0.3706509379595988,0.0002334953032730458,0.008214022709998374,0.3549610746545825,0.3863369350656436,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,weighted_Brier,0.06585834391682349,0.06586462129032969,6.27737350619717e-06,0.0015298883784418686,0.06296437919850698,0.06885252486458293,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,weighted_log_loss,0.22646343749058356,0.22650095307133672,3.751558075315575e-05,0.004556123861540601,0.21802656962525344,0.2353106801867552,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,calibration_intercept,0.009603874005276632,0.00939463329004363,-0.00020924071523300246,0.03684650304062812,-0.062215723555486706,0.08490182003308971,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,calibration_slope,1.000303192292681,1.000283507386317,-1.9684906364059174e-05,0.01733939981574336,0.9664374934868637,1.0333302702011873,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,observed_expected_ratio,1.0067490624709747,1.006831548179273,8.248570829816337e-05,0.01847166848798757,0.9709873250710571,1.044061205691945,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,weighted_observed_prevalence,0.08840231418265862,0.08840012941488093,-2.1847677776909435e-06,0.0023179099084068584,0.08392676901154782,0.09307277854851627,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,weighted_mean_predicted_probability,0.08780968115896043,0.08779707351803658,-1.260764092385347e-05,0.001461190294691696,0.08493907443157486,0.0905999150842911,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,calibration_in_the_large,0.0073762819747678066,0.007303417088117421,-7.286488665038567e-05,0.020123448585115108,-0.03221446952721947,0.04731208146121015,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,survey_weighted_AUROC,0.8545050233648654,0.8543901917116652,-0.00011483165320025357,0.00373013434069329,0.847196959197234,0.861560866212953,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
