comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,uacr_method
combined,elastic_net,2005-2006,1814,206,combined_fasting_weight,model0_paired_combined,model4_combined,0.0150907406510132,0.050922227260475,0.0026717885781046,0.0094344758573682,-0.0858222646933286,-0.0200938137235446,0.8974404569480638,0.9614508608225204,0.065728450969784,0.0640104038744564,complete_case_refit
combined,elastic_net,2007-2008,2295,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0097965800802094,0.0202120146111443,0.0008897160418057,0.0040524066344974,0.090365904328392,0.0379335397411997,1.0314875423793948,1.0118935798212685,0.0524323645871923,0.0195939625581262,complete_case_refit
combined,elastic_net,2009-2010,2567,262,combined_fasting_weight,model0_paired_combined,model4_combined,0.0051611943093862,0.0064325484588621,0.0005809628432464,0.0023030461683248,-0.1581409335599736,-0.1452177281708853,0.972070985202548,0.959578882867494,0.0129232053890883,-0.012492102335054,complete_case_refit
combined,elastic_net,2011-2012,2273,229,combined_fasting_weight,model0_paired_combined,model4_combined,0.0063097626017647,0.022417168357311,0.0013620586744849,0.0038301303863422,-0.0678136953304413,-0.0488302966431609,0.9014063237827912,0.9007103872616409,0.0189833986872804,-0.0006959365211502,complete_case_refit
combined,elastic_net,2013-2014,2342,236,combined_fasting_weight,model0_paired_combined,model4_combined,0.0056045764306209,0.0238701832526211,0.0018992940761103,0.0043568394650544,0.165682517724127,0.1036527470843119,1.1456919734110114,1.1328912314588897,0.0620297706398151,0.0128007419521218,complete_case_refit
combined,elastic_net,2015-2016,2222,261,combined_fasting_weight,model0_paired_combined,model4_combined,0.0085259002035142,0.0339830555733339,0.0016920988259274,0.0053344423547156,0.1435154634656124,0.1721789061185418,1.124219311226928,1.1280557795058577,-0.0286634426529293,-0.0038364682789295,complete_case_refit
combined,elastic_net,2017-2018,2250,277,combined_fasting_weight,model0_paired_combined,model4_combined,0.0017892536355627,0.0227733301105343,0.000278809619815,0.0003138622748422,-0.1953772746594096,-0.2214762408488047,0.8861062647204894,0.8519985873781852,-0.026098966189395,-0.0341076773423041,complete_case_refit
combined,xgboost,2005-2006,1814,206,combined_fasting_weight,model0_paired_combined,model4_combined,0.0116255128037134,0.0612654998784913,0.0027050316598215,0.0088381147836113,0.1365342926792694,0.1808105591011417,0.9882350148825004,1.0295664898449055,-0.0442762664218722,-0.0178015047274058,complete_case_refit
combined,xgboost,2007-2008,2295,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0089821440411046,0.0261539760928606,0.0013785859938552,0.0050270987660446,0.1821241647226701,0.2439354179168903,1.0724314222133964,1.0925834675026451,-0.0618112531942201,-0.0201520452892489,complete_case_refit
combined,xgboost,2009-2010,2567,262,combined_fasting_weight,model0_paired_combined,model4_combined,0.0027603141618804,-0.0140696544138594,-0.000509842636397,0.0001698869085049,-0.0959743827007107,-0.1836298779501018,0.9911659545010224,0.9287474201860576,-0.0876554952493911,-0.062418534314965,complete_case_refit
combined,xgboost,2011-2012,2273,229,combined_fasting_weight,model0_paired_combined,model4_combined,0.0042310005083116,0.0168260308098844,0.0008718619670389,0.0025682746980926,0.0143366025644643,0.04516604985576,0.9224684911431632,0.9289756073465107,-0.0308294472912957,0.0065071162033474,complete_case_refit
combined,xgboost,2013-2014,2342,236,combined_fasting_weight,model0_paired_combined,model4_combined,0.0018696918164071,0.0356310909700104,0.0015961342155686,0.0033795379752972,0.1123376011320435,0.0856213065200915,1.1361547641415517,1.1295358558032682,0.026716294611952,0.0066189083382834,complete_case_refit
combined,xgboost,2015-2016,2222,261,combined_fasting_weight,model0_paired_combined,model4_combined,0.008448994666604,0.0367997601427444,0.0017982239217119,0.0055274744075039,0.114207738882839,0.1942755244345553,1.1524118338735894,1.1882301439779206,-0.0800677855517163,-0.0358183101043312,complete_case_refit
combined,xgboost,2017-2018,2250,277,combined_fasting_weight,model0_paired_combined,model4_combined,-0.0061057373963758,0.0110105669009666,-0.0013373080474842,-0.004786047051397,-0.2772449191704758,-0.3729456468628008,0.849444975924597,0.7820611607537021,-0.095700727692325,-0.0673838151708948,complete_case_refit
