target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1,uacr_method
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1814,206,combined_fasting_weight,0.5,fixed_0.50,0.8255542492096701,0.3396635980597726,0.8220759068734,0.3714405155348019,0.0708552872865976,0.2459437236499289,0.084883008015818,0.2829768935695795,-0.0858222646933286,0.8974404569480638,1.075367800166139,0.0922601761927907,0.0857940661590732,0.0797607994919449,0.1359223300970873,0.9800995024875622,0.4666666666666667,0.8985176738882554,0.2105263157894736,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2005-2006,1814,206,combined_fasting_weight,0.5,fixed_0.50,0.8406449898606834,0.3905858253202477,0.8359808964884317,0.4145790869745187,0.068183498708493,0.2365092477925607,0.0821942625333044,0.2739454083448747,-0.0200938137235446,0.9614508608225204,1.0343372788096972,0.0922601761927907,0.0891973808572022,0.0371293212543557,0.2135922330097087,0.9751243781094528,0.5238095238095238,0.9063583815028902,0.3034482758620689,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2007-2008,2295,273,combined_fasting_weight,0.5,fixed_0.50,0.8520626297919949,0.3802267473251233,0.8181396579022693,0.372364086543986,0.0644623345394707,0.2226242564253039,0.0880446745171183,0.2926677384951412,0.090365904328392,1.0314875423793948,1.0269136612116032,0.0874164260948351,0.0851253901829458,0.0290652068146477,0.1282051282051282,0.9812067260138476,0.4794520547945205,0.8928892889288929,0.2023121387283237,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2007-2008,2295,273,combined_fasting_weight,0.5,fixed_0.50,0.8618592098722043,0.4004387619362676,0.8302953228769253,0.4020655241326673,0.0635726184976649,0.2185718497908065,0.0861100908380407,0.2859973262234444,0.0379335397411997,1.0118935798212685,1.0125117939609125,0.0874164260948351,0.0863362052829676,0.0136171634896911,0.1904761904761904,0.9772502472799208,0.5306122448979592,0.8994082840236687,0.2803234501347709,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2009-2010,2567,262,combined_fasting_weight,0.5,fixed_0.50,0.8380721943831393,0.3457038623727089,0.8402510307827324,0.3891685457535655,0.0614595127973662,0.2164467347609403,0.0748368463078419,0.2534489437200771,-0.1581409335599736,0.972070985202548,0.9196666432417182,0.0796182921568201,0.0865729911396752,-0.091329032829341,0.1717557251908397,0.9852494577006508,0.569620253164557,0.9127813504823152,0.2639296187683284,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2009-2010,2567,262,combined_fasting_weight,0.5,fixed_0.50,0.8432333886925255,0.352136410831571,0.8461707870378037,0.3970671239521602,0.0608785499541197,0.2141436885926155,0.074008347692038,0.2503369452718935,-0.1452177281708853,0.959578882867494,0.9455718237422716,0.0796182921568201,0.0842012104820513,-0.0609572353800458,0.1908396946564885,0.980477223427332,0.5263157894736842,0.9142394822006472,0.2801120448179272,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2011-2012,2273,229,combined_fasting_weight,0.5,fixed_0.50,0.8277344972318659,0.3631880328643487,0.8208346507832062,0.3376760885886264,0.0711344041001122,0.247198630137729,0.0781149346489981,0.2645766897206809,-0.0678136953304413,0.9014063237827912,1.0810635063523684,0.0943576294506014,0.0872822261561439,0.0857275043416474,0.1572052401746725,0.9843444227005872,0.5294117647058824,0.912471655328798,0.2424242424242424,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2011-2012,2273,229,combined_fasting_weight,0.5,fixed_0.50,0.8340442598336306,0.3856052012216597,0.8279446072859963,0.3559093724111224,0.0697723454256272,0.2433684997513867,0.0769050992086535,0.2612358885228769,-0.0488302966431609,0.9007103872616409,1.09702693910761,0.0943576294506014,0.0860121352419638,0.101776538737385,0.1790393013100436,0.9784735812133072,0.4823529411764706,0.9140767824497258,0.2611464968152866,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2013-2014,2342,236,combined_fasting_weight,0.5,fixed_0.50,0.8663601324656852,0.4012850815564672,0.8447514768136238,0.3998667886211882,0.0627830049830822,0.2152756466388243,0.0737030621391107,0.2487917966701143,0.165682517724127,1.1456919734110114,0.9499704953679116,0.0862164379157801,0.0907569638595876,-0.0563056678853617,0.1398305084745762,0.9857549857549858,0.5238095238095238,0.9109258446687144,0.2207357859531772,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2013-2014,2342,236,combined_fasting_weight,0.5,fixed_0.50,0.8719647088963062,0.4251552648090884,0.8565458657266567,0.4257431822794929,0.0608837109069719,0.2109188071737698,0.0713219565488016,0.2418559938053993,0.1036527470843119,1.1328912314588897,0.9260046433083796,0.0862164379157801,0.0931058375773912,-0.0844440168323439,0.2076271186440678,0.9848053181386516,0.6049382716049383,0.9172932330827068,0.3091482649842271,complete_case_refit
