check,status
docx_exists,PASS
markdown_source_exists,PASS
required_sections_present,PASS
all_nine_tables_embedded,PASS
all_four_figures_embedded,PASS
stage3b_results_present,PASS
stage3b_not_misdescribed_as_locked,PASS
pilot_results_absent,PASS
gbd_removed_from_manuscript,PASS
no_future_event_claim,PASS
author_metadata_not_invented,PASS
minimum_manuscript_words,PASS
correct_2021_egfr_reference,PASS
stage3b_gate_pass,PASS
final_visual_qa_26_pages,PASS
no_clipping_overlap_or_footer_duplication,PASS
overall,PASS
