model_key,model,algorithm,status,model_path,model_sha256,expected_model_sha256,metadata_sha256,features_sha256,hyperparameters_sha256,training_period,temporal_validation_status,calibration_status
model0_core_elastic_net,model0_core,elastic_net,PASS,results/models/frozen_development/model0_core_elastic_net/model_pipeline.joblib,2d78e7691f32ea2b4f151cd870c88643a87a7ad646587540ac2dc5983a729e2c,2d78e7691f32ea2b4f151cd870c88643a87a7ad646587540ac2dc5983a729e2c,60dfc1fbf122c20949b3e6e22b81ebd5d01fcd607103854f3c570dfb7a96f580,27d5460430d96c5430ea8b59f4f3671cf713691f713bce62828cd88baadae344,66880f3f014dfef0177d1bd38c861a5eafd80a90ec3a5617a213eac05420b078,NHANES 2005-2018,locked,none
model0_core_xgboost,model0_core,xgboost,PASS,results/models/frozen_development/model0_core_xgboost/model_pipeline.joblib,9f538da99aedc06121e2df7bb12259b534f8e973d1b378a91dfe158b689eae43,9f538da99aedc06121e2df7bb12259b534f8e973d1b378a91dfe158b689eae43,f50d4c1fd27a3f5584f34b554251d72af535489d4730d360e370179826500e18,27d5460430d96c5430ea8b59f4f3671cf713691f713bce62828cd88baadae344,9ac5e26e89c92344e21f2f2ce65d3f87f9c09a23162b301d51f02111b4045dcf,NHANES 2005-2018,locked,none
model1_renal_elastic_net,model1_renal,elastic_net,PASS,results/models/frozen_development/model1_renal_elastic_net/model_pipeline.joblib,19b52b6d3b9418e2862a289de908540601cb0c0cafbdd277f9b72d01f1e1b6c4,19b52b6d3b9418e2862a289de908540601cb0c0cafbdd277f9b72d01f1e1b6c4,49aa607778df3da400518f083a921c3329828e72b76f987ed8fbadae861a44fc,fbcf410b2c9b4b1e7f251b346e81e1683f1938a10e320d487126c23836ae4124,0038a715c08623887b80269f8a5fc59e958b9dc47eb617a112d50b0e0d9f9c29,NHANES 2005-2018,locked,none
model1_renal_xgboost,model1_renal,xgboost,PASS,results/models/frozen_development/model1_renal_xgboost/model_pipeline.joblib,3632013712a5f4cb740802517e24f7f57cfd9de7a026ad69676d3d5000508685,3632013712a5f4cb740802517e24f7f57cfd9de7a026ad69676d3d5000508685,5c5700c799ca78eb3d778f90d7d356e9607f5a68a6b3666c5bb0d57f845c11e3,fbcf410b2c9b4b1e7f251b346e81e1683f1938a10e320d487126c23836ae4124,b7c09bfa2a3bfae21fef30c0b4426daba09e6f0b316c322a4e2f5865997da1e5,NHANES 2005-2018,locked,none
model2_metabolic_elastic_net,model2_metabolic,elastic_net,PASS,results/models/frozen_development/model2_metabolic_elastic_net/model_pipeline.joblib,905b92bc4074e8c264917dee084dcb6309b168a4f4f58e83c09560df2e7a2c77,905b92bc4074e8c264917dee084dcb6309b168a4f4f58e83c09560df2e7a2c77,3948bfb3089a782e15604f30774522edfe2b28e6d9d989b298fbfce5ef201d78,d2e750fa07f55a63ea87922be0bc9531686482ae86a821e7a04d78e3b72d3f26,bd29f12f289efbd6a72f56e3b678497edbc186cd4e54b654326df83e17039c79,NHANES 2005-2018,locked,none
model2_metabolic_xgboost,model2_metabolic,xgboost,PASS,results/models/frozen_development/model2_metabolic_xgboost/model_pipeline.joblib,6ab55703d69698d2d3a9a680eb9a889c8a8d9eb1fc5b9343859d93fe4e48b754,6ab55703d69698d2d3a9a680eb9a889c8a8d9eb1fc5b9343859d93fe4e48b754,1e6891315d8ee9f72125cb97c447954d48b918db8cd371150d0f315f90908b14,d2e750fa07f55a63ea87922be0bc9531686482ae86a821e7a04d78e3b72d3f26,e7e07708602863bb8d7df2edae2c9d71d1748ddf8be8c52ce74f3007d22d2394,NHANES 2005-2018,locked,none
model3_inflammatory_elastic_net,model3_inflammatory,elastic_net,PASS,results/models/frozen_development/model3_inflammatory_elastic_net/model_pipeline.joblib,cc8418be665c49b6642617317d81f42468379652b20fe7135d066d8fb11aa4bc,cc8418be665c49b6642617317d81f42468379652b20fe7135d066d8fb11aa4bc,eeac0ba2334b26ed63e528cdcf2bd77c720b507dd008d01713d8da37846f5d7f,807ed84e8fe0507182e73ef4efd5306f19916ceeb0fbe273b07a259aeb860998,bd29f12f289efbd6a72f56e3b678497edbc186cd4e54b654326df83e17039c79,NHANES 2005-2018,locked,none
model3_inflammatory_xgboost,model3_inflammatory,xgboost,PASS,results/models/frozen_development/model3_inflammatory_xgboost/model_pipeline.joblib,51e3cb9a96dd05f2ee2d35f87f82f3bacd3cf3edfc5971bec63fe9c3536755d1,51e3cb9a96dd05f2ee2d35f87f82f3bacd3cf3edfc5971bec63fe9c3536755d1,0171de386e4079eb551e0b83048920351b61a3a42a014885482cb37b672275c5,807ed84e8fe0507182e73ef4efd5306f19916ceeb0fbe273b07a259aeb860998,e30bb1024656ddfdd2905f26977bb8f25fb282a6afea937b9c0366c6682b114e,NHANES 2005-2018,locked,none
model4_combined_elastic_net,model4_combined,elastic_net,PASS,results/models/frozen_development/model4_combined_elastic_net/model_pipeline.joblib,9c0c2295e2aadb40964bdf12d8e4dee6a7408f2a78296a514ba8dfa3b52f3230,9c0c2295e2aadb40964bdf12d8e4dee6a7408f2a78296a514ba8dfa3b52f3230,3b5b469933b40d934b9fa88f992c3fbf62bdc882909fb56385969ce32c907b74,8311d1f01ec0605300852b9f598f7c43a655f953f9b8f04ba9d73a784a3b71b9,0038a715c08623887b80269f8a5fc59e958b9dc47eb617a112d50b0e0d9f9c29,NHANES 2005-2018,locked,none
model4_combined_xgboost,model4_combined,xgboost,PASS,results/models/frozen_development/model4_combined_xgboost/model_pipeline.joblib,6659efbbef2a4a53ee7ec12a44b8bf37f8aa8921200c0a9ee251507e7f5fd6d5,6659efbbef2a4a53ee7ec12a44b8bf37f8aa8921200c0a9ee251507e7f5fd6d5,7c4736153395f354fab1c4d11036b3e59d09faa0cf7e18ead5c715e7d64b1ae4,8311d1f01ec0605300852b9f598f7c43a655f953f9b8f04ba9d73a784a3b71b9,6a91b621581e5fc36a7f33157fcb932c31854ad8c2519cd777a65a56566115cd,NHANES 2005-2018,locked,none
