comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df,comparison_order
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_AUROC,0.0046120992637825,0.0046023949127991,-9.704350983396996e-06,0.0007926791741856,0.0030849890228573,0.0061666262991929,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,renal
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_AUROC,0.0011367131150543,0.0011353502171032,-1.362897951103642e-06,0.0006425063919351,-0.0001553646843129,0.0023953184444903,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,metabolic
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_AUROC,0.0010563996197374,0.0010515841239076,-4.815495829775703e-06,0.0003596399962498,0.0003535220229142,0.0017345113371868,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,inflammatory
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_AUROC,0.0071829789592405,0.0071749227657032,-8.056193537339142e-06,0.0016907965488691,0.0039394994236237,0.0105860988928009,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,combined
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_Brier_improvement,0.0008860811119815,0.0008844692452468,-1.6118667346726352e-06,0.0001546719107018,0.0005870664922318,0.0011840331434242,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,renal
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_Brier_improvement,0.0001081696366019,0.0001076016946001,-5.679420017820082e-07,0.0001092736719893,-0.00011518507352,0.0003108319766473,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,metabolic
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_Brier_improvement,0.0001449454331342,0.0001433045292205,-1.6409039136201602e-06,7.029191317107331e-05,7.399331603045734e-06,0.0002848586801338,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,inflammatory
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_Brier_improvement,0.0013818606356228,0.0013777382969561,-4.122338666760284e-06,0.0003452534591446,0.0007142425415342,0.0020438904857896,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,combined
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_PR_AUC,0.0160921999636167,0.0161495639799916,5.7364016374964605e-05,0.003169041318677,0.0101479187285961,0.022302674451593,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,renal
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_PR_AUC,0.0001690006572884,0.0002594912040572,9.049054676883706e-05,0.0020217749663349,-0.0037926777579433,0.0041147337518817,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,metabolic
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_PR_AUC,0.0024373204680348,0.0025391392039965,0.0001018187359617,0.0015846613630009,-0.0004466629441398,0.0056105770701776,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,inflammatory
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_PR_AUC,0.024061580693437,0.0242629242971078,0.0002013436036708,0.0062051570668072,0.0124264123362267,0.0365929932030944,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,combined
renal,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model1_renal,delta_log_loss_improvement,0.0027247984481862,0.0027188255620511,-5.972886135053712e-06,0.0004605361205804,0.0018523980573066,0.0036236025933359,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,renal
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_log_loss_improvement,0.0004852464245233,0.0004854844522401,2.380277167422112e-07,0.000338660220204,-0.0001988458403622,0.0011126534214136,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,metabolic
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_log_loss_improvement,0.000508174970104,0.0005054448346853,-2.7301354186463987e-06,0.0002116294997077,9.863079049066777e-05,0.0009231154321422,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,inflammatory
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_log_loss_improvement,0.0042797482895821,0.0042652488051474,-1.4499484434677553e-05,0.0009920916736152,0.0024149651104929,0.0062303793576395,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109,combined
