comparison,algorithm,scope,n,events,core_model,extended_model,weight_variable,strategy,threshold_probability,net_benefit,bootstrap_se,ci_lower,ci_upper,valid_replicates,ci_level,ci_method
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.01,0.0832599367140091,0.0033947665351971,0.0765199927078436,0.0898247861808186,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.01,-3.0073656477405675e-05,0.000146568215901,-0.0003133017636035,0.0002323314543649,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.01,0.0832298630575317,0.0033779222713325,0.076470526838831,0.0897381140118727,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.01,0.0826874123917352,0.0033952767200454,0.075894077388524,0.0893013095566256,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.01,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.02,0.0770791370675899,0.0033576352444686,0.0704281992831071,0.0835515736134521,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.02,-0.0002894897341065,0.0003208868178322,-0.0009047037753618,0.0003133538832604,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.02,0.0767896473334834,0.0033431228651828,0.0702870087556869,0.0832171970091861,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.02,0.0733270798651203,0.0034299224008622,0.0664644251169784,0.0800084657765912,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.02,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.03,0.0714877371058449,0.0032510916481387,0.0651018753009089,0.0777681272416822,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.03,0.0006365824344731,0.000443694681824,-0.0002288809048796,0.0015030832171656,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.03,0.0721243195403181,0.0032443079780505,0.0657185099698322,0.0784192068702956,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.03,0.0637737507915648,0.0034652824256133,0.0568403470254008,0.0705240169701643,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.03,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.04,0.0663773885833119,0.0031155845611452,0.0603437353876867,0.0723465255110226,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.04,0.0009598911378841,0.0004897801206536,3.5939117630516584e-05,0.0019540629939079,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.04,0.067337279721196,0.0031359297528753,0.0611444345204431,0.07334768071885,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.04,0.0540213940289769,0.0035013791175468,0.0470157673069154,0.0608419754802701,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.04,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.05,0.0630521796377041,0.0030739179970622,0.056980552962295,0.0690057080483193,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.05,0.0008133238501475,0.0005483148710356,-0.0002226751967798,0.001880898835459,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.05,0.0638655034878516,0.0031168752211116,0.0577806693427654,0.069998579204853,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.05,0.0440637244924398,0.0035382357398368,0.0369843543311988,0.0509561015379572,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.05,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.06,0.0593664641271455,0.003071852935657,0.0533548753840127,0.0654715983021765,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.06,0.0010176823861009,0.0006590194430041,-0.0002255397010889,0.0023422041939556,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.06,0.0603841465132465,0.0030368500114938,0.0544268621462574,0.0663151338825681,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.06,0.0338941896466147,0.0035758765455797,0.0267395070368498,0.0408598898521908,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.06,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.07,0.0564406829582126,0.0030365728218908,0.050462596369359,0.0624632169054573,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.07,3.5762306752867845e-05,0.0006472101591368,-0.0012346627571764,0.001331757067088,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.07,0.0564764452649654,0.003068499077421,0.0504873965790983,0.0624432333955423,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.07,0.0235059551266858,0.0036143268310161,0.0162743404458482,0.0305465553344724,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.07,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.08,0.0537421615251378,0.0029843498492756,0.0478844677478594,0.059638004416108,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.08,-0.0002534759310582,0.0007092520116861,-0.0016377293765924,0.0010755573066293,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.08,0.0534886855940796,0.0029338057661454,0.0477755461907222,0.0590834121130124,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.08,0.0128918894215411,0.0036536129922228,0.0055816702333031,0.0200090178924558,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.08,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.09,0.051216473016828,0.0029515406453887,0.0454541280314499,0.0570559024637229,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.09,-8.377203142385936e-05,0.0007277067022018,-0.0014978241926369,0.0013320249017151,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.09,0.0511327009854041,0.0028172691665575,0.0456159254960639,0.0565027604512852,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.09,0.0020445475470526,0.0036937625855439,-0.005346003720177,0.0092398862209443,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.09,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.1,0.0484681978432017,0.0028592806577593,0.0428377026950796,0.0540031471835111,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.1,9.0277028968494e-05,0.0007427618688278,-0.0012927783551986,0.0015326934867573,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.1,0.0485584748721702,0.0027953168871723,0.0430319618779548,0.0539955640387073,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.1,-0.0090438463690912,0.0037348043920499,-0.0165165148726234,-0.0017685594877118,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.1,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.11,0.0459135518757098,0.0028245046613579,0.040230159105868,0.051328494014514,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.11,9.385582064264791e-05,0.0007929878028971,-0.0013600778098475,0.001717522120268,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.11,0.0460074076963525,0.0027261668725357,0.0405844159722696,0.0512232789013641,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.11,-0.0203814176766091,0.0037767684863426,-0.0279380487475967,-0.0130243859988096,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.11,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.12,0.0427786175259546,0.0026973456840172,0.0373922705681566,0.0480045725686118,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.12,0.0004732619986338,0.0008325046504068,-0.0011171366836102,0.0021403615872029,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.12,0.0432518795245885,0.0027289928179821,0.0378160274979842,0.0483551320440713,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.12,-0.0319766610592978,0.0038196863100511,-0.0396191629379103,-0.0245360267487961,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.12,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.13,0.0404005004293014,0.0025386402740813,0.0353983808347796,0.0451848300371669,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.13,0.0008413359000228,0.0007015592417378,-0.0004590086789251,0.0022435608462877,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.13,0.0412418363293243,0.0026275611455637,0.0361834352487278,0.0462639050203747,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.13,-0.0438384617611288,0.0038635907503965,-0.0515688084889208,-0.0363123029183225,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.13,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.14,0.0382182392610053,0.0025509853186876,0.0331917368313249,0.0430434022045055,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.14,0.0016437940790603,0.0007603496508257,0.0002160376134275,0.0031428574599289,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.14,0.0398620333400656,0.0025659592450444,0.0348479178557512,0.044745081115294,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.14,-0.055976118293235,0.0039085162242383,-0.0637963527736757,-0.0483624459755123,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.14,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.15,0.0366043002484379,0.0025310676653161,0.0315646820099472,0.0413897271885975,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.15,0.0015046944257959,0.0007965984896102,2.323346648746563e-05,0.0031036109550881,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.15,0.0381089946742339,0.0024829081744975,0.0331829352619377,0.0427185280737468,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.15,-0.0683993667437437,0.0039544987680529,-0.0763116039827778,-0.0606961218105183,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.15,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.16,0.0347566853522773,0.0025104046493687,0.0297790252971609,0.0394181475596168,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.16,0.001771305850062,0.0009789410434855,-8.153392061325974e-05,0.0037656316619359,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.16,0.0365279912023393,0.0024647920736224,0.0316889285514528,0.0411367403785073,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.16,-0.0811184068240263,0.0040015761343392,-0.0891248373635251,-0.0733234565939769,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.16,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.17,0.0335724071499785,0.0024515197693951,0.0286847102237676,0.0381534433399626,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.17,0.0005489812264806,0.0009986597375263,-0.0013780734809679,0.0024801473560514,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.17,0.0341213883764592,0.0022144127856844,0.0298512933872787,0.0383072542835821,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.17,-0.0941439297978098,0.0040497878949939,-0.1022468233558568,-0.0862550645047477,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.17,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.18,0.0311242448505782,0.0023980037078843,0.0264059139300301,0.0355955362662663,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.18,0.000696422206806,0.0010714516916371,-0.0013011265399797,0.0027986996847849,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.18,0.0318206670573843,0.0021975446729568,0.0275080626615722,0.0359145189524707,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.18,-0.1074871484538806,0.0040991755522499,-0.1156888577870257,-0.0995020774865129,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.18,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,pooled_2005_2018,15956,1813,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.19,0.0294268367701734,0.0023389708207704,0.0248673860179749,0.0337067566863129,2000,0.95,survey_Rao_Wu_percentile
