model,model_label,target_population,decile,unweighted_n,events,weighted_mean_predicted_probability,weighted_observed_prevalence,observed_ci_lower,observed_ci_upper,predicted_ci_lower,predicted_ci_upper,n_replicates_valid
model0_core,Model 0 core clinical,MEC examination sample,1,543,4,0.00390953126387699,0.005731249022455021,0.0,0.01506080301918765,0.0037755094190732572,0.0040990859690035126,2000
model0_core,Model 0 core clinical,MEC examination sample,2,598,4,0.007368422278160321,0.000544917598375383,0.0,0.0013354167930244262,0.007288350974341681,0.007452343035649712,2000
model0_core,Model 0 core clinical,MEC examination sample,3,602,9,0.01199044226679697,0.013382535409337976,0.0014323462780501356,0.02397543729264961,0.011875237694053197,0.012130240021553463,2000
model0_core,Model 0 core clinical,MEC examination sample,4,629,14,0.019080701271031605,0.018730831229853674,0.006925268907944075,0.032110363353073795,0.01890019272929421,0.01927151071130767,2000
model0_core,Model 0 core clinical,MEC examination sample,5,668,19,0.03124950421646612,0.01659994407745443,0.008133021390782001,0.025613065450209194,0.03074709312158579,0.03170344814418814,2000
model0_core,Model 0 core clinical,MEC examination sample,6,719,35,0.05002942813831058,0.05586999844871886,0.023962479950624702,0.08458480656959932,0.04939153475153845,0.050728671889671215,2000
model0_core,Model 0 core clinical,MEC examination sample,7,827,72,0.08260449463380841,0.07953091423708596,0.05139622992327052,0.10691317271805195,0.08158570148580943,0.08366758245992914,2000
model0_core,Model 0 core clinical,MEC examination sample,8,1029,143,0.13931969395644977,0.1380044456054983,0.10907130573348381,0.1665585138254999,0.13752208558636386,0.14100729175597168,2000
model0_core,Model 0 core clinical,MEC examination sample,9,1099,250,0.23218898741517813,0.21946463767920069,0.18625171139428073,0.2543738651934861,0.23056411973762264,0.2337652218794943,2000
model0_core,Model 0 core clinical,MEC examination sample,10,1052,432,0.44029105634797694,0.42132395978511983,0.3761210860537102,0.4661695312852583,0.43113098656226606,0.4509226569939872,2000
model1_renal,Model 1 renal,MEC examination sample,1,479,4,0.004094035189798272,0.0057338451422903735,0.0,0.014609805939670803,0.003954215770499565,0.0042678589129664865,2000
model1_renal,Model 1 renal,MEC examination sample,2,609,3,0.0077053015050341485,0.0005429684175071587,0.0,0.001372272535094909,0.007591320955842702,0.007817272923225718,2000
model1_renal,Model 1 renal,MEC examination sample,3,634,10,0.01246990757573487,0.014003740595717806,0.001557533307213921,0.024857929919647408,0.012344530301207728,0.01258711470857624,2000
model1_renal,Model 1 renal,MEC examination sample,4,642,16,0.019226583507235186,0.021074213691420544,0.00854626747261335,0.034843976540792784,0.019032469584697304,0.019426991485602084,2000
model1_renal,Model 1 renal,MEC examination sample,5,676,17,0.03097743245147609,0.020216111216252785,0.007454643857147415,0.0310387022085933,0.03059588580879239,0.031394711859364474,2000
model1_renal,Model 1 renal,MEC examination sample,6,770,34,0.04866092722206705,0.04458916518403629,0.02372218801576789,0.06348904314032044,0.047979333219561236,0.04933938112292264,2000
model1_renal,Model 1 renal,MEC examination sample,7,851,79,0.0792392519058712,0.0783914698350677,0.055511934315997644,0.1028002794850964,0.07824503394529438,0.08030508213826275,2000
model1_renal,Model 1 renal,MEC examination sample,8,1059,142,0.13164930628484883,0.13246156484600727,0.11245399326188762,0.15181289643865437,0.13021232239353084,0.1328444691979615,2000
model1_renal,Model 1 renal,MEC examination sample,9,1088,275,0.2245420416067787,0.23538364110465676,0.208972499529701,0.2629538047980182,0.22201149156937613,0.22690322192821127,2000
model1_renal,Model 1 renal,MEC examination sample,10,958,402,0.4517724369078136,0.4168802354091746,0.3701872124197963,0.45998865311368303,0.44038220959806834,0.4652574669551785,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,1,211,2,0.0043807819476621105,0.005174135902373501,0.0,0.013776444789658403,0.004176627833805538,0.004602014191380933,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,2,222,1,0.00818849040414095,0.0011048940715016296,0.0,0.0029312249836111644,0.007996384077592317,0.008392252596034466,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,3,269,2,0.012651769924494335,0.00514648818682096,0.0,0.011377505322408015,0.012406391125158716,0.012874754640528856,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,4,262,6,0.01936145840903774,0.03662732639769562,0.0,0.07512048866800633,0.01904960647019452,0.019641542842758913,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,5,294,8,0.02982891291026082,0.024221062544045685,0.003971985752103256,0.04558992298897603,0.02932101721896454,0.030313591131702563,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,6,355,14,0.04607569186742075,0.02805535820893024,0.0076092654588537706,0.05145078897124061,0.045178680712478124,0.0469958902921124,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,7,382,32,0.07520733228388483,0.09582913597637062,0.053933448246638815,0.13752628397349867,0.07335411993871538,0.07733126473388031,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,8,442,56,0.12712153368089604,0.11647875429039332,0.08032693526466153,0.1487930531326155,0.12535079126477425,0.12891284565151045,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,9,480,110,0.2214475323076933,0.20032192930332274,0.16061585514249874,0.24594577725291242,0.217768752219128,0.22544245541896538,2000
model4_combined,Model 4 combined biomarkers,fasting subsample,10,480,203,0.4621219706147285,0.42034955281023917,0.36473049529449514,0.47254760892275344,0.4463382268338707,0.48037593446077953,2000
