comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting,sensitivity_family
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.0150140334793674,0.0466319808156403,0.001138981808126,0.0012825655099854,-1.9277981750888515,-1.9917228583790076,0.8803367303913088,0.9256628933602676,-0.0639246832901558,0.0453261629689589,class_weighted_refit,Class imbalance
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.009226871544715,0.0187133708418921,0.0039121414454,0.0063928596499282,-2.050403947563965,-2.0639855159669245,0.9949648417700008,0.9627977737226738,-0.0135815684029596,-0.0321670680473268,class_weighted_refit,Class imbalance
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0058572065188953,0.0008909733987874,0.0069895621579403,0.0145734139032511,-2.129216677622895,-2.096057142318432,0.9222032692650262,0.8991607190284618,0.0331595353044629,-0.0230425502365643,class_weighted_refit,Class imbalance
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0065022391397321,0.0244404496124923,0.0068107679068559,0.0139282768853925,-1.903388920250113,-1.8865415496660896,0.8787775645118191,0.862428317757951,0.0168473705840233,-0.016349246753868,class_weighted_refit,Class imbalance
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.0042439778162071,0.0221294438402643,0.0022132255619602,0.0006364215583607,-2.1536068388168683,-2.1851860926579096,1.1133657713437008,1.0654833529535224,-0.0315792538410413,0.0478824183901784,class_weighted_refit,Class imbalance
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.0086106048482894,0.037616892813058,0.0066578007038418,0.0140049034410008,-2.158475175116112,-2.149720963452575,1.053181630162471,1.0415424935585784,0.008754211663537,0.0116391366038925,class_weighted_refit,Class imbalance
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.0036813925057707,0.0284967273189629,0.0073344784952683,0.0144062668255333,-2.030714771840855,-1.994259200458086,0.8753801363967999,0.8339414664245817,0.0364555713827687,-0.0414386699722182,class_weighted_refit,Class imbalance
inflammatory,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model3_inflammatory,0.0021668866917039,0.0040324214612089,0.0011974112960648,0.0023365997847151,-1.9597771091241545,-1.957622338638663,0.9667215704896596,0.9726007575234692,0.0021547704854913,0.0058791870338095,class_weighted_refit,Class imbalance
inflammatory,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model3_inflammatory,0.0008533920540693,0.0085658139805056,0.0013380807251177,0.0031976606479867,-2.0596066410346388,-2.0516278502494325,0.9930416837797376,0.9991109587556214,0.0079787907852062,0.0060692749758837,class_weighted_refit,Class imbalance
inflammatory,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model3_inflammatory,-4.840861198007751e-06,0.0030575418555457,0.0013393648696144,0.0030538782170251,-2.121793262388353,-2.111973914073592,0.9141963555993504,0.9117942493039664,0.0098193483147617,-0.0024021062953839,class_weighted_refit,Class imbalance
