comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,uacr_method,sensitivity_family
combined,elastic_net,2005-2006,1814,206,combined_fasting_weight,model0_paired_combined,model4_combined,0.0150907406510132,0.050922227260475,0.0026717885781046,0.0094344758573682,-0.0858222646933286,-0.0200938137235446,0.8974404569480638,0.9614508608225204,0.065728450969784,0.0640104038744564,complete_case_refit,UACR handling
combined,elastic_net,2007-2008,2295,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0097965800802094,0.0202120146111443,0.0008897160418057,0.0040524066344974,0.090365904328392,0.0379335397411997,1.0314875423793948,1.0118935798212685,0.0524323645871923,0.0195939625581262,complete_case_refit,UACR handling
combined,elastic_net,2009-2010,2567,262,combined_fasting_weight,model0_paired_combined,model4_combined,0.0051611943093862,0.0064325484588621,0.0005809628432464,0.0023030461683248,-0.1581409335599736,-0.1452177281708853,0.972070985202548,0.959578882867494,0.0129232053890883,-0.012492102335054,complete_case_refit,UACR handling
combined,elastic_net,2011-2012,2273,229,combined_fasting_weight,model0_paired_combined,model4_combined,0.0063097626017647,0.022417168357311,0.0013620586744849,0.0038301303863422,-0.0678136953304413,-0.0488302966431609,0.9014063237827912,0.9007103872616409,0.0189833986872804,-0.0006959365211502,complete_case_refit,UACR handling
combined,elastic_net,2013-2014,2342,236,combined_fasting_weight,model0_paired_combined,model4_combined,0.0056045764306209,0.0238701832526211,0.0018992940761103,0.0043568394650544,0.165682517724127,0.1036527470843119,1.1456919734110114,1.1328912314588897,0.0620297706398151,0.0128007419521218,complete_case_refit,UACR handling
combined,elastic_net,2015-2016,2222,261,combined_fasting_weight,model0_paired_combined,model4_combined,0.0085259002035142,0.0339830555733339,0.0016920988259274,0.0053344423547156,0.1435154634656124,0.1721789061185418,1.124219311226928,1.1280557795058577,-0.0286634426529293,-0.0038364682789295,complete_case_refit,UACR handling
combined,elastic_net,2017-2018,2250,277,combined_fasting_weight,model0_paired_combined,model4_combined,0.0017892536355627,0.0227733301105343,0.000278809619815,0.0003138622748422,-0.1953772746594096,-0.2214762408488047,0.8861062647204894,0.8519985873781852,-0.026098966189395,-0.0341076773423041,complete_case_refit,UACR handling
renal,elastic_net,2005-2006,4305,495,combined_mec_weight,model0_core,model1_renal,0.0039351931365206,0.0244445601800146,0.001498353173345,0.0039192315960552,0.1254936723698448,0.0934370659369762,1.0023003239445007,1.010293852973236,0.0320566064328685,-0.0079935290287351,complete_case_refit,UACR handling
renal,elastic_net,2007-2008,5467,626,combined_mec_weight,model0_core,model1_renal,0.0042508693895083,0.0252317725546618,0.0011364625186456,0.0031518555879546,0.0310974940691428,0.0389847254263278,1.0092398181598186,1.0119156971528571,-0.0078872313571849,-0.0026758789930385,complete_case_refit,UACR handling
renal,elastic_net,2009-2010,5860,617,combined_mec_weight,model0_core,model1_renal,0.0035526621561343,0.0020826509936185,0.0002855848321185,0.0013203416818621,-0.1518607193671436,-0.1592662641288044,0.9546608415271964,0.9382658952709176,-0.0074055447616607,-0.0163949462562786,complete_case_refit,UACR handling
renal,elastic_net,2011-2012,5143,515,combined_mec_weight,model0_core,model1_renal,0.006424699329145,0.0266470774121535,0.0012760413350502,0.0039700006609067,-0.0914134688059647,-0.0570405175998994,0.9401316709668492,0.9530117883052364,0.0343729512060652,0.0128801173383873,complete_case_refit,UACR handling
renal,elastic_net,2013-2014,5403,543,combined_mec_weight,model0_core,model1_renal,0.0073189334280509,0.0185945115107664,0.0013406320627708,0.0042780981232034,-0.0531535771532043,-0.0425087230488212,0.9889442167893588,1.0108161947667784,0.010644854104383,0.0002395884438628,complete_case_refit,UACR handling
renal,elastic_net,2015-2016,5279,570,combined_mec_weight,model0_core,model1_renal,0.0055993539929303,0.0141125169964034,0.0007693559201253,0.0026382550368663,0.060450906119013,0.0546023730206687,1.0741696602601252,1.0589288378379185,0.0058485330983442,0.0152408224222067,complete_case_refit,UACR handling
renal,elastic_net,2017-2018,5073,613,combined_mec_weight,model0_core,model1_renal,0.0016762583387442,0.0108309431082429,0.0001478413307935,0.00056642451429,0.0104056095332158,0.0059372098532896,0.993822873788151,0.978363694978758,0.0044683996799262,-0.015459178809393,complete_case_refit,UACR handling
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.0148754444963662,0.0501966610967811,0.002741281297062,0.0094846075388063,-0.0374520110084045,0.0186458212947044,0.9169226161188438,0.9781258590066744,0.0188061897137001,0.0612032428878304,main_fold_median,UACR handling
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.0095683554904488,0.0193621061803624,0.001088465735984,0.0044336129145171,0.0853609644835697,0.0503961547853146,1.034723669788501,1.0221725867461966,0.034964809698255,0.0125510830423043,main_fold_median,UACR handling
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0052293467566936,0.0034121036996984,0.0005613712161819,0.0023157263317055,-0.1676307334190432,-0.1610416261780595,0.969397531589542,0.9569613279676338,0.0065891072409836,-0.0124362036219083,main_fold_median,UACR handling
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0066550482356013,0.0220154527550148,0.001501073556298,0.0041447253686093,-0.0436802548665805,-0.0200238946295165,0.9109750364633608,0.9122004420246544,0.0236563602370639,0.0012254055612934,main_fold_median,UACR handling
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037145581308206,0.0184903933438426,0.0016141680773976,0.0033570709703926,0.1728778828919389,0.0875422888961142,1.1480926140439265,1.1188491241776124,0.0853355939958246,0.029243489866314,main_fold_median,UACR handling
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.0089493203266123,0.0348716602826695,0.0016879092869769,0.0055396201717337,0.0689306530634278,0.1044041276479244,1.077394208457339,1.0871372055198714,-0.0354734745844965,-0.0097429970625324,main_fold_median,UACR handling
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037426004951637,0.026567757519007,0.0005856394125219,0.0012108498845993,-0.1987602530811134,-0.2131894158640108,0.8858956257277596,0.8598981287074584,-0.0144291627828973,-0.0259974970203011,main_fold_median,UACR handling
renal,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0046418054142439,0.024684182274646,0.0015217134883704,0.0041336814116645,0.1059471704405738,0.0968682150259723,0.9947416253587584,1.0125363301634642,0.0090789554146015,-0.0072779555222226,main_fold_median,UACR handling
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0037861538481039,0.022436336395159,0.0010518435161586,0.0029070433599694,0.0694536225810092,0.076392169611588,1.0249267128685786,1.026515944215799,-0.0069385470305787,-0.0015892313472203,main_fold_median,UACR handling
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0037137954296554,0.0013463576590094,0.0002819006059968,0.0013670895963004,-0.1685420313155057,-0.1760532850015135,0.9537351286056368,0.938582136380677,-0.0075112536860078,-0.0151529922249599,main_fold_median,UACR handling
renal,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0051694627894353,0.0251976691470655,0.0012357341747646,0.0035647707494809,-0.046631888996513,-0.0267213358427729,0.9539106390038112,0.9601564411194164,0.01991055315374,0.0062458021156052,main_fold_median,UACR handling
renal,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.0066796834053932,0.0179165268054188,0.0013177920286472,0.004087794399938,-0.0458306735658907,-0.0433313579056661,0.9919471897383998,1.0091755372954163,0.0024993156602245,-0.0011227270338163,main_fold_median,UACR handling
renal,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0051359957379116,0.011889917387983,0.0006619465176565,0.0023598526604986,0.0233468793390478,0.0108504480541131,1.051649985296686,1.0354276245969531,0.0124964312849347,0.0162223606997327,main_fold_median,UACR handling
renal,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0021899034561523,0.0117944694600057,0.0002148962522229,0.0008415218173746,0.0030521736358594,0.0016971981283588,0.996529070884836,0.9840004741257558,0.0013549755075005,-0.0125285967590803,main_fold_median,UACR handling
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.015194726506413,0.0534577329482012,0.0029229573465695,0.0098592542438931,-0.0374520110084037,0.0230035328281814,0.9169226161188448,0.9803039408101968,0.0144484781802222,0.0633813246913519,nested_multiple_imputation,UACR handling
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.0098337344161977,0.0219482396239773,0.0011667906867166,0.0046602636549276,0.0853609644835705,0.0453302602329875,1.0347236697885025,1.0211851026656191,0.0400307042505829,0.0135385671228829,nested_multiple_imputation,UACR handling
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0054211566796468,0.0026416222127537,0.0005679259097062,0.0024057884339426,-0.1676307334190422,-0.156316151119022,0.9693975315895428,0.9584166274236774,0.0113145823000201,-0.0109809041658655,nested_multiple_imputation,UACR handling
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0068691740471465,0.0238663179590795,0.0016195039759734,0.004459685890074,-0.0436802548665809,-0.0195004149584615,0.9109750364633612,0.9128215216945332,0.0241798399081194,0.0018464852311718,nested_multiple_imputation,UACR handling
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.0040522033474386,0.0192096376793344,0.0016036783038582,0.0034524104273561,0.1728778828919384,0.0890501330596547,1.148092614043927,1.120230308583534,0.0838277498322836,0.027862305460393,nested_multiple_imputation,UACR handling
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.008990355509753,0.0342777478917878,0.0017103000175422,0.0055663653046423,0.0689306530634271,0.107385818337642,1.0773942084573394,1.0879932796979928,-0.0384551652742149,-0.0105990712406534,nested_multiple_imputation,UACR handling
